DeathMaritalStatusMaritalStatusDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Widowed,Unspecified acute lower respiratory infection (J22U049U071),46,0.3,1413
Divorced,Unspecified acute lower respiratory infection (J22U049U071),11,0.1,1416
Never Married,Unspecified acute lower respiratory infection (J22U049U071),7,N/A,1419
Unknown,Unspecified acute lower respiratory infection (J22U049U071),0,N/A,1422
Married,Bronchitis chronic and unspecified (J40-J42),0,N/A,1428
Married but Separated,Bronchitis chronic and unspecified (J40-J42),0,N/A,1431
Widowed,Bronchitis chronic and unspecified (J40-J42),0,N/A,1434
Divorced,Bronchitis chronic and unspecified (J40-J42),0,N/A,1437
Never Married,Bronchitis chronic and unspecified (J40-J42),0,N/A,1440
Unknown,Bronchitis chronic and unspecified (J40-J42),0,N/A,1443
Married,Emphysema (J43),0,N/A,1449
Married but Separated,Emphysema (J43),0,N/A,1452
Widowed,Emphysema (J43),1,N/A,1455
Divorced,Emphysema (J43),0,N/A,1458
Never Married,Emphysema (J43),0,N/A,1461
Unknown,Emphysema (J43),0,N/A,1464
Married,Asthma (J45-J46),0,N/A,1470
Married but Separated,Asthma (J45-J46),0,N/A,1473
Widowed,Asthma (J45-J46),0,N/A,1476
Divorced,Asthma (J45-J46),0,N/A,1479
Never Married,Asthma (J45-J46),0,N/A,1482
Unknown,Asthma (J45-J46),0,N/A,1485
Married,Other chronic lower respiratory diseases (J44J47),5,N/A,1491
Married but Separated,Other chronic lower respiratory diseases (J44J47),0,N/A,1494
Widowed,Other chronic lower respiratory diseases (J44J47),6,N/A,1497
Divorced,Other chronic lower respiratory diseases (J44J47),2,N/A,1500
Never Married,Other chronic lower respiratory diseases (J44J47),3,N/A,1503
Unknown,Other chronic lower respiratory diseases (J44J47),0,N/A,1506
Married,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1512
Married but Separated,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1515
Widowed,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1518
Divorced,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1521
Never Married,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1524
Unknown,Pneumoconioses and chemical effects (J60-J66J68),0,N/A,1527
Married,Pneumonitis due to solids and liquids (J69),1,N/A,1533
Married but Separated,Pneumonitis due to solids and liquids (J69),0,N/A,1536
Widowed,Pneumonitis due to solids and liquids (J69),1,N/A,1539
Divorced,Pneumonitis due to solids and liquids (J69),0,N/A,1542
Never Married,Pneumonitis due to solids and liquids (J69),1,N/A,1545
Unknown,Pneumonitis due to solids and liquids (J69),0,N/A,1548
Married,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),2,N/A,1554
Married but Separated,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,1557
Widowed,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1,N/A,1560
Divorced,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),1,N/A,1563
Never Married,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,1566
Unknown,Other diseases of respiratory system (J00-J06J30-J39J67J70-J98),0,N/A,1569
Married,Peptic ulcer (K25-K28),0,N/A,1575
Married but Separated,Peptic ulcer (K25-K28),0,N/A,1578
Widowed,Peptic ulcer (K25-K28),0,N/A,1581
Divorced,Peptic ulcer (K25-K28),0,N/A,1584
Never Married,Peptic ulcer (K25-K28),0,N/A,1587
Unknown,Peptic ulcer (K25-K28),0,N/A,1590
Married,Diseases of appendix (K35-K38),0,N/A,1596
Married but Separated,Diseases of appendix (K35-K38),0,N/A,1599
Widowed,Diseases of appendix (K35-K38),0,N/A,1602
Divorced,Diseases of appendix (K35-K38),0,N/A,1605
Never Married,Diseases of appendix (K35-K38),0,N/A,1608
Unknown,Diseases of appendix (K35-K38),0,N/A,1611
Married,Hernia (K40-K46),1,N/A,1617
Married but Separated,Hernia (K40-K46),0,N/A,1620
Widowed,Hernia (K40-K46),0,N/A,1623
Divorced,Hernia (K40-K46),0,N/A,1626
Never Married,Hernia (K40-K46),0,N/A,1629
Unknown,Hernia (K40-K46),0,N/A,1632
Married,Alcoholic liver disease (K70),0,N/A,1638
Married but Separated,Alcoholic liver disease (K70),0,N/A,1641
Widowed,Alcoholic liver disease (K70),0,N/A,1644
Divorced,Alcoholic liver disease (K70),3,N/A,1647
Never Married,Alcoholic liver disease (K70),0,N/A,1650
Unknown,Alcoholic liver disease (K70),0,N/A,1653
Married,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,1659
Married but Separated,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,1662
Widowed,Other chronic liver disease and cirrhosis (K73-K74),1,N/A,1665
Divorced,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,1668
Never Married,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,1671
Unknown,Other chronic liver disease and cirrhosis (K73-K74),0,N/A,1674
Married,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1680
Married but Separated,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1683
Widowed,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1686
Divorced,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1689
Never Married,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1692
Unknown,Cholelithiasis and other disorders of gallbladder (K80-K82),0,N/A,1695
Married,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1701
Married but Separated,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1704
Widowed,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1707
Divorced,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1710
Never Married,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1713
Unknown,Acute and rapidly progressive nephritic and nephrotic syndrome (N00-N01N04),0,N/A,1716
Married,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1722
Married but Separated,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1725
Widowed,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1728
Divorced,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1731
Never Married,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1734
Unknown,Chronic glomerulonephritis nephritis and nephritis not specified as acute or chronicand renal sclerosis unspecified (N02-N03N05-N07N26),0,N/A,1737
Married,Renal failure (N17-N19),3,N/A,1743
Married but Separated,Renal failure (N17-N19),0,N/A,1746
Widowed,Renal failure (N17-N19),2,N/A,1749
Divorced,Renal failure (N17-N19),2,N/A,1752
Never Married,Renal failure (N17-N19),1,N/A,1755
Unknown,Renal failure (N17-N19),0,N/A,1758
Married,Other disorders of kidney (N25N27),0,N/A,1764
Married but Separated,Other disorders of kidney (N25N27),0,N/A,1767
Widowed,Other disorders of kidney (N25N27),0,N/A,1770
Divorced,Other disorders of kidney (N25N27),0,N/A,1773
Never Married,Other disorders of kidney (N25N27),0,N/A,1776
Unknown,Other disorders of kidney (N25N27),0,N/A,1779
Married,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1785
Married but Separated,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1788
Widowed,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1791
Divorced,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1794
Never Married,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1797
Unknown,Infections of kidney (N10-N12N13.6N15.1),0,N/A,1800
Married,Hyperplasia of prostate (N40),0,N/A,1806
Married but Separated,Hyperplasia of prostate (N40),0,N/A,1809
Widowed,Hyperplasia of prostate (N40),0,N/A,1812
Divorced,Hyperplasia of prostate (N40),0,N/A,1815
Never Married,Hyperplasia of prostate (N40),0,N/A,1818
Unknown,Hyperplasia of prostate (N40),0,N/A,1821
Married,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1827
Married but Separated,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1830
Widowed,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1833
Divorced,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1836
Never Married,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1839
Unknown,Inflammatory diseases of female pelvic organs (N70-N76),0,N/A,1842
Married,Pregnancy with abortive outcome (O00-O07),0,N/A,1848
Married but Separated,Pregnancy with abortive outcome (O00-O07),0,N/A,1851
Widowed,Pregnancy with abortive outcome (O00-O07),0,N/A,1854
Divorced,Pregnancy with abortive outcome (O00-O07),0,N/A,1857
Never Married,Pregnancy with abortive outcome (O00-O07),0,N/A,1860
Unknown,Pregnancy with abortive outcome (O00-O07),0,N/A,1863
Married,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1869
Married but Separated,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1872
Widowed,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1875
Divorced,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1878
Never Married,Other complications of pregnancy childbirth and the puerperium (O10-O99),1,N/A,1881
Unknown,Other complications of pregnancy childbirth and the puerperium (O10-O99),0,N/A,1884
Married,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1890
Married but Separated,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1893
Widowed,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1896
Divorced,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1899
Never Married,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1902
Unknown,Certain conditions originating in the perinatal period (P00-P96),0,N/A,1905
Married,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1911
Married but Separated,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1914
Widowed,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1917
Divorced,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1920
Never Married,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1923
Unknown,Congenital malformations deformations and chromosomal abnormalities (Q00-Q99),0,N/A,1926
Married,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),1378,9.0,1932
Married but Separated,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),4,N/A,1935
Widowed,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),1406,9.0,1938
Divorced,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),652,4.3,1941
Never Married,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),495,3.7,1944
Unknown,Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified (R00-R99),6,N/A,1947
Married,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),13,0.1,1953
Married but Separated,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),0,N/A,1956
Widowed,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),37,0.2,1959
Divorced,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),10,0.1,1962
Never Married,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),11,0.1,1965
Unknown,All other diseases (Residual) (D65-E07E15-E34E65-F99G04-G12G23-G25G31-H93K00-K22K29-K31K50-K66K71-K72K75-K76K83-M99N13.0-N13.5N13.7-N13.9N14N15.0N15.8-N15.9N20-N23N28-N39N41-N64N80-N98),0,N/A,1968
Married,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1,N/A,1974
Married but Separated,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),0,N/A,1977
Widowed,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),0,N/A,1980
Divorced,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),1,N/A,1983
Never Married,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),2,N/A,1986
Unknown,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),0,N/A,1989
Married,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1995
Married but Separated,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1998
Widowed,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,2001
Divorced,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,2004
Never Married,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,2007
Unknown,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,2010
Married,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2016
Married but Separated,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2019
Widowed,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2022
Divorced,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2025
Never Married,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2028
Unknown,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,2031
Married,Falls (W00-W19),1,N/A,2037
Married but Separated,Falls (W00-W19),0,N/A,2040
Widowed,Falls (W00-W19),1,N/A,2043
Divorced,Falls (W00-W19),0,N/A,2046
Never Married,Falls (W00-W19),1,N/A,2049
Unknown,Falls (W00-W19),0,N/A,2052
Married,Accidental discharge of firearms (W32-W34),1,N/A,2058
Married but Separated,Accidental discharge of firearms (W32-W34),0,N/A,2061
Widowed,Accidental discharge of firearms (W32-W34),0,N/A,2064
Divorced,Accidental discharge of firearms (W32-W34),0,N/A,2067
Never Married,Accidental discharge of firearms (W32-W34),0,N/A,2070
Unknown,Accidental discharge of firearms (W32-W34),0,N/A,2073
Married,Accidental drowning and submersion (W65-W74),0,N/A,2079
Married but Separated,Accidental drowning and submersion (W65-W74),0,N/A,2082
Widowed,Accidental drowning and submersion (W65-W74),0,N/A,2085
Divorced,Accidental drowning and submersion (W65-W74),0,N/A,2088
Never Married,Accidental drowning and submersion (W65-W74),0,N/A,2091
Unknown,Accidental drowning and submersion (W65-W74),0,N/A,2094
Married,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2100
Married but Separated,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2103
Widowed,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2106
Divorced,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2109
Never Married,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2112
Unknown,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,2115
Married,Accidental poisoning and exposure to noxious substances (X40-X49),1,N/A,2121
Married but Separated,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,2124
Widowed,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,2127
Divorced,Accidental poisoning and exposure to noxious substances (X40-X49),1,N/A,2130
Never Married,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,2133
Unknown,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,2136
Married,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),3,N/A,2142
Married but Separated,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,2145
Widowed,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,2148
Divorced,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,2151
Never Married,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,2154
Unknown,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,2157
Married,Intentional self-harm (suicide) by discharge of firearms (X72-X74),2,N/A,2163
Married but Separated,Intentional self-harm (suicide) by discharge of firearms (X72-X74),0,N/A,2166
Widowed,Intentional self-harm (suicide) by discharge of firearms (X72-X74),1,N/A,2169
Divorced,Intentional self-harm (suicide) by discharge of firearms (X72-X74),1,N/A,2172
Never Married,Intentional self-harm (suicide) by discharge of firearms (X72-X74),2,N/A,2175
Unknown,Intentional self-harm (suicide) by discharge of firearms (X72-X74),0,N/A,2178
Married,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1,N/A,2184
Married but Separated,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,2187
Widowed,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,2190
Divorced,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,2193
Never Married,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,2196
Unknown,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,2199
Married,Assault (homicide) by discharge of firearms (*U01.4X93-X95),1,N/A,2205
Married but Separated,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,2208
Widowed,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,2211
Divorced,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,2214
Never Married,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,2217
Unknown,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,2220
Married,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2226
Married but Separated,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2229
Widowed,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2232
Divorced,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2235
Never Married,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2238
Unknown,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,2241
Married,Legal intervention (Y35Y89.0),0,N/A,2247
Married but Separated,Legal intervention (Y35Y89.0),0,N/A,2250
Widowed,Legal intervention (Y35Y89.0),0,N/A,2253
Divorced,Legal intervention (Y35Y89.0),0,N/A,2256
Never Married,Legal intervention (Y35Y89.0),0,N/A,2259
Unknown,Legal intervention (Y35Y89.0),0,N/A,2262
Married,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2268
Married but Separated,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2271
Widowed,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2274
Divorced,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2277
Never Married,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2280
Unknown,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,2283
Married,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2289
Married but Separated,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2292
Widowed,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2295
Divorced,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2298
Never Married,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2301
Unknown,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,2304
Married,Operations of war and their sequelae (Y36Y89.1),0,N/A,2310
Married but Separated,Operations of war and their sequelae (Y36Y89.1),0,N/A,2313
Widowed,Operations of war and their sequelae (Y36Y89.1),0,N/A,2316
Divorced,Operations of war and their sequelae (Y36Y89.1),0,N/A,2319
Never Married,Operations of war and their sequelae (Y36Y89.1),0,N/A,2322
Unknown,Operations of war and their sequelae (Y36Y89.1),0,N/A,2325
Married,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2331
Married but Separated,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2334
Widowed,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2337
Divorced,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2340
Never Married,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2343
Unknown,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,2346
Married,Total,1591,10.5,2352
Married but Separated,Total,5,N/A,2355
Widowed,Total,1622,10.3,2358
Divorced,Total,726,4.8,2361
Never Married,Total,561,4.2,2364
Unknown,Total,6,N/A,2367
Total,Salmonella infections (A01-A02),0,N/A,18
Total,Shigellosis and amebiasis (A03A06),0,N/A,39
Total,Certain other intestinal infections (A04A07-A09),0,N/A,60
Total,Respiratory tuberculosis (A16),0,N/A,81
Total,Other tuberculosis (A17-A19),0,N/A,102
Total,Whooping cough (A37),0,N/A,123
Total,Scarlet fever and erysipelas (A38A46),0,N/A,144
Total,Meningococcal infection (A39),0,N/A,165
Total,Septicemia (A40-A41),8,N/A,186
Total,Syphilis ((A50-A53),0,N/A,207
Total,Acute poliomyelitis (A80),0,N/A,228
Total,Arthropod-borne viral encephalitis (A83-A84A85.2),0,N/A,249
Total,Viral hepatitis (B15-B19),0,N/A,270
Total,Human immunodeficiency virus (HIV) disease (B20-B24),0,N/A,291
Total,Malaria (B50-B54),0,N/A,312
Total,Other and unspecified infectious and parasitic diseases and their sequelae (A00A05A20-A36A42-A44A48-A49A54-A79A81-A82A85.0-A85.1A85.8A86-B04B06-B09B25-B49B55-B99),0,N/A,333
Total,Malignant neoplasms of lip oral cavity and pharynx (C00-C14),2,N/A,354
Total,Malignant neoplasm of esophagus (C15),3,N/A,375
Total,Malignant neoplasm of stomach (C16),2,N/A,396
Total,Malignant neoplasms of colon rectum and anus (C18-C21),19,0.1,417
Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1,N/A,438
Total,Malignant neoplasm of pancreas (C25),9,N/A,459
Total,Malignant neoplasm of larynx (C32),1,N/A,480
Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),27,0.2,501
Total,Malignant melanoma of skin (C43),4,N/A,522
Total,Malignant neoplasm of breast (C50),11,0.1,543
Total,Malignant neoplasm of cervix uteri (C53),1,N/A,564
Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),3,N/A,585
Total,Malignant neoplasm of ovary (C56),3,N/A,606
Total,Malignant neoplasm of prostate (C61),6,N/A,627
Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),4,N/A,648
Total,Malignant neoplasm of bladder (C67),0,N/A,669
Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),5,N/A,690
Total,Hodgkin's disease (C81),0,N/A,711
Total,Non-Hodgkin's lymphoma (C82-C85),4,N/A,732
Total,Leukemia (C91-C95),4,N/A,753
Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),4,N/A,774
Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,795
Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),13,0.1,816
Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),4,N/A,837
Total,Anemias (D50-D64),1,N/A,858
Total,Diabetes mellitus (E10-E14),8,N/A,879
Total,Malnutrition (E40-E46),2,N/A,900
Total,Other nutritional deficiencies (E50-E64),0,N/A,921
Total,Meningitis (G00G03),0,N/A,942
Total,Parkinson's disease (G20-G21),14,0.1,963
Total,Alzheimer's disease (G30),28,0.2,984
Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1005
Total,Hypertensive heart disease (I11),9,N/A,1026
Total,Hypertensive heart and renal disease (I13),3,N/A,1047
Total,Acute myocardial infarction (I21-I22),14,0.1,1068
Total,Other acute ischemic heart diseases (I24),1,N/A,1089
Total,Atherosclerotic cardiovascular disease so described (I25.0),9,N/A,1110
