DeathMaritalStatusMaritalStatusDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Widowed,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),115,0.4,1914
Divorced,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),79,0.5,1917
Divorced,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1920
Divorced,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),79,0.3,1923
Never Married,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),57,0.4,1926
Never Married,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1929
Never Married,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),57,0.2,1932
Unknown,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),2,N/A,1935
Unknown,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1938
Unknown,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),2,N/A,1941
Total,2020 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),552,3.6,1944
Total,2021 **,Malignant neoplasms of kidney and renal pelvis (C64-C65),1,N/A,1947
Total,Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),553,1.8,1950
Married,2020 **,Malignant neoplasm of bladder (C67),320,2.1,1953
Married,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1956
Married,Total,Malignant neoplasm of bladder (C67),320,1.0,1959
Married but Separated,2020 **,Malignant neoplasm of bladder (C67),1,N/A,1962
Married but Separated,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1965
Married but Separated,Total,Malignant neoplasm of bladder (C67),1,N/A,1968
Widowed,2020 **,Malignant neoplasm of bladder (C67),225,1.4,1971
Widowed,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1974
Widowed,Total,Malignant neoplasm of bladder (C67),225,0.7,1977
Divorced,2020 **,Malignant neoplasm of bladder (C67),96,0.6,1980
Divorced,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1983
Divorced,Total,Malignant neoplasm of bladder (C67),96,0.3,1986
Never Married,2020 **,Malignant neoplasm of bladder (C67),56,0.4,1989
Never Married,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1992
Never Married,Total,Malignant neoplasm of bladder (C67),56,0.2,1995
Unknown,2020 **,Malignant neoplasm of bladder (C67),4,N/A,1998
Unknown,2021 **,Malignant neoplasm of bladder (C67),0,N/A,2001
Unknown,Total,Malignant neoplasm of bladder (C67),4,N/A,2004
Total,2020 **,Malignant neoplasm of bladder (C67),702,4.5,2007
Total,2021 **,Malignant neoplasm of bladder (C67),0,N/A,2010
Total,Total,Malignant neoplasm of bladder (C67),702,2.3,2013
Married,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),356,2.4,2016
Married,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),4,N/A,2019
Married,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),360,1.2,2022
Married but Separated,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),2,N/A,2025
Married but Separated,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2028
Married but Separated,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),2,N/A,2031
Widowed,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),83,0.5,2034
Widowed,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2037
Widowed,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),83,0.3,2040
Divorced,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),106,0.7,2043
Divorced,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2046
Divorced,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),106,0.3,2049
Never Married,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),73,0.6,2052
Never Married,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2055
Never Married,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),73,0.3,2058
Unknown,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1,N/A,2061
Unknown,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2064
Unknown,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1,N/A,2067
Total,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),621,4.3,2070
Total,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),4,N/A,2073
Total,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),625,2.2,2076
Married,2020 **,Hodgkin's disease (C81),17,0.1,2079
Married,2021 **,Hodgkin's disease (C81),0,N/A,2082
Married,Total,Hodgkin's disease (C81),17,0.1,2085
Married but Separated,2020 **,Hodgkin's disease (C81),0,N/A,2088
Married but Separated,2021 **,Hodgkin's disease (C81),0,N/A,2091
Married but Separated,Total,Hodgkin's disease (C81),0,N/A,2094
Widowed,2020 **,Hodgkin's disease (C81),11,0.1,2097
Widowed,2021 **,Hodgkin's disease (C81),0,N/A,2100
Widowed,Total,Hodgkin's disease (C81),11,0.0,2103
Divorced,2020 **,Hodgkin's disease (C81),4,N/A,2106
Divorced,2021 **,Hodgkin's disease (C81),0,N/A,2109
Divorced,Total,Hodgkin's disease (C81),4,N/A,2112
Never Married,2020 **,Hodgkin's disease (C81),6,N/A,2115
Never Married,2021 **,Hodgkin's disease (C81),0,N/A,2118
Never Married,Total,Hodgkin's disease (C81),6,N/A,2121
Unknown,2020 **,Hodgkin's disease (C81),0,N/A,2124
Unknown,2021 **,Hodgkin's disease (C81),0,N/A,2127
Unknown,Total,Hodgkin's disease (C81),0,N/A,2130
Total,2020 **,Hodgkin's disease (C81),38,0.3,2133
Total,2021 **,Hodgkin's disease (C81),0,N/A,2136
Total,Total,Hodgkin's disease (C81),38,0.1,2139
Married,2020 **,Non-Hodgkin's lymphoma (C82-C85),386,2.5,2142
Married,2021 **,Non-Hodgkin's lymphoma (C82-C85),4,N/A,2145
Married,Total,Non-Hodgkin's lymphoma (C82-C85),390,1.2,2148
Married but Separated,2020 **,Non-Hodgkin's lymphoma (C82-C85),2,N/A,2151
Married but Separated,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2154
Married but Separated,Total,Non-Hodgkin's lymphoma (C82-C85),2,N/A,2157
Widowed,2020 **,Non-Hodgkin's lymphoma (C82-C85),209,1.4,2160
Widowed,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2163
Widowed,Total,Non-Hodgkin's lymphoma (C82-C85),209,0.7,2166
Divorced,2020 **,Non-Hodgkin's lymphoma (C82-C85),110,0.7,2169
Divorced,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2172
Divorced,Total,Non-Hodgkin's lymphoma (C82-C85),110,0.4,2175
Never Married,2020 **,Non-Hodgkin's lymphoma (C82-C85),62,0.4,2178
Never Married,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2181
Never Married,Total,Non-Hodgkin's lymphoma (C82-C85),62,0.2,2184
Unknown,2020 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2187
Unknown,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2190
Unknown,Total,Non-Hodgkin's lymphoma (C82-C85),0,N/A,2193
Total,2020 **,Non-Hodgkin's lymphoma (C82-C85),769,5.0,2196
Total,2021 **,Non-Hodgkin's lymphoma (C82-C85),4,N/A,2199
Total,Total,Non-Hodgkin's lymphoma (C82-C85),773,2.5,2202
Married,2020 **,Leukemia (C91-C95),421,2.7,2205
Married,2021 **,Leukemia (C91-C95),1,N/A,2208
Married,Total,Leukemia (C91-C95),422,1.4,2211
Married but Separated,2020 **,Leukemia (C91-C95),3,N/A,2214
Married but Separated,2021 **,Leukemia (C91-C95),0,N/A,2217
Married but Separated,Total,Leukemia (C91-C95),3,N/A,2220
Widowed,2020 **,Leukemia (C91-C95),250,1.6,2223
Widowed,2021 **,Leukemia (C91-C95),2,N/A,2226
Widowed,Total,Leukemia (C91-C95),252,0.8,2229
Divorced,2020 **,Leukemia (C91-C95),125,0.8,2232
Divorced,2021 **,Leukemia (C91-C95),0,N/A,2235
Divorced,Total,Leukemia (C91-C95),125,0.4,2238
Never Married,2020 **,Leukemia (C91-C95),98,0.8,2241
Never Married,2021 **,Leukemia (C91-C95),0,N/A,2244
Never Married,Total,Leukemia (C91-C95),98,0.4,2247
Unknown,2020 **,Leukemia (C91-C95),2,N/A,2250
Unknown,2021 **,Leukemia (C91-C95),0,N/A,2253
Unknown,Total,Leukemia (C91-C95),2,N/A,2256
Total,2020 **,Leukemia (C91-C95),899,6.0,2259
Total,2021 **,Leukemia (C91-C95),3,N/A,2262
Total,Total,Leukemia (C91-C95),902,3.0,2265
Married,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),256,1.6,2268
Married,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,2271
Married,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),257,0.8,2274
Married but Separated,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2277
Married but Separated,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2280
Married but Separated,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2283
Widowed,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),127,0.8,2286
Widowed,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),2,N/A,2289
Widowed,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),129,0.4,2292
Divorced,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),73,0.5,2295
Divorced,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2298
Divorced,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),73,0.2,2301
Never Married,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),46,0.3,2304
Never Married,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2307
Never Married,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),46,0.1,2310
Unknown,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),2,N/A,2313
Unknown,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2316
Unknown,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),2,N/A,2319
Total,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),504,3.2,2322
Total,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,2325
Total,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),507,1.6,2328
Married,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2331
Married,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2334
Married,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2337
Married but Separated,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2340
Married but Separated,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2343
Married but Separated,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2346
Widowed,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2349
Widowed,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2352
Widowed,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2355
Divorced,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,2358
Divorced,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2361
Divorced,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,2364
Never Married,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2367
Never Married,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2370
Never Married,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2373
Unknown,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2376
Unknown,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2379
Unknown,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2382
Total,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,2385
Total,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2388
Total,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,2391
Married,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1254,8.2,2394
Married,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),4,N/A,2397
Married,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1258,4.1,2400
Married but Separated,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),11,0.1,2403
Married but Separated,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,2406
Married but Separated,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),11,0.0,2409
Widowed,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),718,4.6,2412
Widowed,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2,N/A,2415
Widowed,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),720,2.3,2418
Divorced,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),482,3.0,2421
Divorced,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,2424
Divorced,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),483,1.5,2427
Never Married,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),323,2.3,2430
Never Married,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,2433
Never Married,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),324,1.2,2436
Unknown,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),9,N/A,2439
Unknown,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,2442
Unknown,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),9,N/A,2445
Total,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2797,18.3,2448
Total,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),8,N/A,2451
Total,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2805,9.2,2454
Married,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),272,1.8,2457
Married,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,2460
Married,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),273,0.9,2463
Married but Separated,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),3,N/A,2466
Married but Separated,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2469
Married but Separated,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),3,N/A,2472
Widowed,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),204,1.3,2475
Widowed,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2478
Widowed,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),204,0.6,2481
Divorced,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),88,0.6,2484
Divorced,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2487
Divorced,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),88,0.3,2490
Never Married,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),51,0.4,2493
Never Married,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2496
Never Married,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),51,0.2,2499
Unknown,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2502
Unknown,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2505
Unknown,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,2508
Total,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),618,4.0,2511
Total,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,2514
Total,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),619,2.0,2517
Married,2020 **,Anemias (D50-D64),51,0.3,2520
Married,2021 **,Anemias (D50-D64),1,N/A,2523
Married,Total,Anemias (D50-D64),52,0.2,2526
Married but Separated,2020 **,Anemias (D50-D64),1,N/A,2529
Married but Separated,2021 **,Anemias (D50-D64),0,N/A,2532
Married but Separated,Total,Anemias (D50-D64),1,N/A,2535
Widowed,2020 **,Anemias (D50-D64),77,0.5,2538
Widowed,2021 **,Anemias (D50-D64),0,N/A,2541
Widowed,Total,Anemias (D50-D64),77,0.2,2544
Divorced,2020 **,Anemias (D50-D64),29,0.2,2547
Divorced,2021 **,Anemias (D50-D64),0,N/A,2550
Divorced,Total,Anemias (D50-D64),29,0.1,2553
Never Married,2020 **,Anemias (D50-D64),36,0.3,2556
Never Married,2021 **,Anemias (D50-D64),0,N/A,2559
Never Married,Total,Anemias (D50-D64),36,0.1,2562
Unknown,2020 **,Anemias (D50-D64),1,N/A,2565
Unknown,2021 **,Anemias (D50-D64),0,N/A,2568
Unknown,Total,Anemias (D50-D64),1,N/A,2571
Total,2020 **,Anemias (D50-D64),195,1.3,2574
Total,2021 **,Anemias (D50-D64),1,N/A,2577
Total,Total,Anemias (D50-D64),196,0.7,2580
Married,2020 **,Diabetes mellitus (E10-E14),1387,9.0,2583
Married,2021 **,Diabetes mellitus (E10-E14),1,N/A,2586
Married,Total,Diabetes mellitus (E10-E14),1388,4.5,2589
Married but Separated,2020 **,Diabetes mellitus (E10-E14),20,0.1,2592
Married but Separated,2021 **,Diabetes mellitus (E10-E14),0,N/A,2595
Married but Separated,Total,Diabetes mellitus (E10-E14),20,0.1,2598
Widowed,2020 **,Diabetes mellitus (E10-E14),1080,6.9,2601
Widowed,2021 **,Diabetes mellitus (E10-E14),2,N/A,2604
Widowed,Total,Diabetes mellitus (E10-E14),1082,3.4,2607
Divorced,2020 **,Diabetes mellitus (E10-E14),796,5.1,2610
Divorced,2021 **,Diabetes mellitus (E10-E14),0,N/A,2613
Divorced,Total,Diabetes mellitus (E10-E14),796,2.6,2616
Never Married,2020 **,Diabetes mellitus (E10-E14),603,4.2,2619
Never Married,2021 **,Diabetes mellitus (E10-E14),0,N/A,2622
Never Married,Total,Diabetes mellitus (E10-E14),603,2.1,2625
Unknown,2020 **,Diabetes mellitus (E10-E14),15,0.1,2628
Unknown,2021 **,Diabetes mellitus (E10-E14),0,N/A,2631
Unknown,Total,Diabetes mellitus (E10-E14),15,0.0,2634
Total,2020 **,Diabetes mellitus (E10-E14),3901,25.4,2637
Total,2021 **,Diabetes mellitus (E10-E14),3,N/A,2640
Total,Total,Diabetes mellitus (E10-E14),3904,12.7,2643
Married,2020 **,Malnutrition (E40-E46),132,0.8,2646
Married,2021 **,Malnutrition (E40-E46),0,N/A,2649
Married,Total,Malnutrition (E40-E46),132,0.4,2652
Married but Separated,2020 **,Malnutrition (E40-E46),0,N/A,2655
Married but Separated,2021 **,Malnutrition (E40-E46),0,N/A,2658
Married but Separated,Total,Malnutrition (E40-E46),0,N/A,2661
Widowed,2020 **,Malnutrition (E40-E46),310,1.9,2664
Widowed,2021 **,Malnutrition (E40-E46),0,N/A,2667
Widowed,Total,Malnutrition (E40-E46),310,1.0,2670
Divorced,2020 **,Malnutrition (E40-E46),73,0.5,2673
Divorced,2021 **,Malnutrition (E40-E46),1,N/A,2676
Divorced,Total,Malnutrition (E40-E46),74,0.2,2679
Never Married,2020 **,Malnutrition (E40-E46),46,0.3,2682
Never Married,2021 **,Malnutrition (E40-E46),0,N/A,2685
Never Married,Total,Malnutrition (E40-E46),46,0.1,2688
Unknown,2020 **,Malnutrition (E40-E46),0,N/A,2691
Unknown,2021 **,Malnutrition (E40-E46),0,N/A,2694
Unknown,Total,Malnutrition (E40-E46),0,N/A,2697
Total,2020 **,Malnutrition (E40-E46),561,3.5,2700
Total,2021 **,Malnutrition (E40-E46),1,N/A,2703
Total,Total,Malnutrition (E40-E46),562,1.8,2706
Married,2020 **,Other nutritional deficiencies (E50-E64),4,N/A,2709
Married,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2712
Married,Total,Other nutritional deficiencies (E50-E64),4,N/A,2715
Married but Separated,2020 **,Other nutritional deficiencies (E50-E64),1,N/A,2718
Married but Separated,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2721
Married but Separated,Total,Other nutritional deficiencies (E50-E64),1,N/A,2724
Widowed,2020 **,Other nutritional deficiencies (E50-E64),2,N/A,2727
Widowed,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2730
Widowed,Total,Other nutritional deficiencies (E50-E64),2,N/A,2733
Divorced,2020 **,Other nutritional deficiencies (E50-E64),1,N/A,2736
Divorced,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2739
Divorced,Total,Other nutritional deficiencies (E50-E64),1,N/A,2742
Never Married,2020 **,Other nutritional deficiencies (E50-E64),0,N/A,2745
Never Married,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2748
Never Married,Total,Other nutritional deficiencies (E50-E64),0,N/A,2751
Unknown,2020 **,Other nutritional deficiencies (E50-E64),0,N/A,2754
Unknown,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2757
Unknown,Total,Other nutritional deficiencies (E50-E64),0,N/A,2760
Total,2020 **,Other nutritional deficiencies (E50-E64),8,N/A,2763
Total,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,2766
Total,Total,Other nutritional deficiencies (E50-E64),8,N/A,2769
Married,2020 **,Meningitis (G00G03),3,N/A,2772
Married,2021 **,Meningitis (G00G03),0,N/A,2775
Married,Total,Meningitis (G00G03),3,N/A,2778
Married but Separated,2020 **,Meningitis (G00G03),0,N/A,2781
Married but Separated,2021 **,Meningitis (G00G03),0,N/A,2784
Married but Separated,Total,Meningitis (G00G03),0,N/A,2787
Widowed,2020 **,Meningitis (G00G03),2,N/A,2790
Widowed,2021 **,Meningitis (G00G03),0,N/A,2793
Widowed,Total,Meningitis (G00G03),2,N/A,2796
Divorced,2020 **,Meningitis (G00G03),2,N/A,2799
Divorced,2021 **,Meningitis (G00G03),0,N/A,2802
Divorced,Total,Meningitis (G00G03),2,N/A,2805
Never Married,2020 **,Meningitis (G00G03),6,N/A,2808
Never Married,2021 **,Meningitis (G00G03),0,N/A,2811
Never Married,Total,Meningitis (G00G03),6,N/A,2814
Unknown,2020 **,Meningitis (G00G03),0,N/A,2817
Unknown,2021 **,Meningitis (G00G03),0,N/A,2820
Unknown,Total,Meningitis (G00G03),0,N/A,2823
Total,2020 **,Meningitis (G00G03),13,0.1,2826
Total,2021 **,Meningitis (G00G03),0,N/A,2829
Total,Total,Meningitis (G00G03),13,0.0,2832
Married,2020 **,Parkinson's disease (G20-G21),748,5.0,2835
Married,2021 **,Parkinson's disease (G20-G21),3,N/A,2838
Married,Total,Parkinson's disease (G20-G21),751,2.5,2841
Married but Separated,2020 **,Parkinson's disease (G20-G21),0,N/A,2844
Married but Separated,2021 **,Parkinson's disease (G20-G21),0,N/A,2847
Married but Separated,Total,Parkinson's disease (G20-G21),0,N/A,2850
Widowed,2020 **,Parkinson's disease (G20-G21),548,3.5,2853
Widowed,2021 **,Parkinson's disease (G20-G21),2,N/A,2856
Widowed,Total,Parkinson's disease (G20-G21),550,1.8,2859
Divorced,2020 **,Parkinson's disease (G20-G21),149,1.0,2862
Divorced,2021 **,Parkinson's disease (G20-G21),0,N/A,2865
Divorced,Total,Parkinson's disease (G20-G21),149,0.5,2868
Never Married,2020 **,Parkinson's disease (G20-G21),80,0.5,2871
Never Married,2021 **,Parkinson's disease (G20-G21),1,N/A,2874
Never Married,Total,Parkinson's disease (G20-G21),81,0.3,2877
Unknown,2020 **,Parkinson's disease (G20-G21),1,N/A,2880
Unknown,2021 **,Parkinson's disease (G20-G21),0,N/A,2883
Unknown,Total,Parkinson's disease (G20-G21),1,N/A,2886
Total,2020 **,Parkinson's disease (G20-G21),1526,10.0,2889
Total,2021 **,Parkinson's disease (G20-G21),6,N/A,2892
Total,Total,Parkinson's disease (G20-G21),1532,5.0,2895
Married,2020 **,Alzheimer's disease (G30),1569,10.3,2898
Married,2021 **,Alzheimer's disease (G30),3,N/A,2901
Married,Total,Alzheimer's disease (G30),1572,5.2,2904
Married but Separated,2020 **,Alzheimer's disease (G30),4,N/A,2907
Married but Separated,2021 **,Alzheimer's disease (G30),0,N/A,2910
Married but Separated,Total,Alzheimer's disease (G30),4,N/A,2913
Widowed,2020 **,Alzheimer's disease (G30),3069,19.4,2916
Widowed,2021 **,Alzheimer's disease (G30),6,N/A,2919
