DeathEthnicityEthnicityDesc,DeathYearYear,DeathCOD358ICDCode358Desc,Deaths,DeathAgeAdjustedRate11,SORT
Hispanic,Total,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3534
Non-Hispanic,2020 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),9,N/A,3537
Non-Hispanic,2021 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3540
Non-Hispanic,Total,Of other and unspecified sites (D10-D24D29-D30D34-D36),9,N/A,3543
Unknown,2020 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3546
Unknown,2021 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3549
Unknown,Total,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3552
Total,2020 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),9,N/A,3555
Total,2021 **,Of other and unspecified sites (D10-D24D29-D30D34-D36),0,N/A,3558
Total,Total,Of other and unspecified sites (D10-D24D29-D30D34-D36),9,N/A,3561
Hispanic,2020 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),4,N/A,3564
Hispanic,2021 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),0,N/A,3567
Hispanic,Total,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),4,N/A,3570
Non-Hispanic,2020 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),498,3.3,3573
Non-Hispanic,2021 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),1,N/A,3576
Non-Hispanic,Total,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),499,1.6,3579
Unknown,2020 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),0,N/A,3582
Unknown,2021 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),0,N/A,3585
Unknown,Total,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),0,N/A,3588
Total,2020 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),502,3.2,3591
Total,2021 **,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),1,N/A,3594
Total,Total,Neoplasms of uncertain or unknown behavior of specified sites (D37-D47),503,1.6,3597
Hispanic,2020 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3600
Hispanic,2021 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3603
Hispanic,Total,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3606
Non-Hispanic,2020 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),50,0.4,3609
Non-Hispanic,2021 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3612
Non-Hispanic,Total,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),50,0.2,3615
Unknown,2020 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3618
Unknown,2021 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3621
Unknown,Total,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3624
Total,2020 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),50,0.4,3627
Total,2021 **,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),0,N/A,3630
Total,Total,Neoplasm of uncertain or unknown behavior of unspecified sites(D48),50,0.2,3633
Hispanic,2020 **,Nutritional anemias(D50-D53),0,N/A,3636
Hispanic,2021 **,Nutritional anemias(D50-D53),0,N/A,3639
Hispanic,Total,Nutritional anemias(D50-D53),0,N/A,3642
Non-Hispanic,2020 **,Nutritional anemias(D50-D53),17,0.1,3645
Non-Hispanic,2021 **,Nutritional anemias(D50-D53),0,N/A,3648
Non-Hispanic,Total,Nutritional anemias(D50-D53),17,0.1,3651
Unknown,2020 **,Nutritional anemias(D50-D53),0,N/A,3654
Unknown,2021 **,Nutritional anemias(D50-D53),0,N/A,3657
Unknown,Total,Nutritional anemias(D50-D53),0,N/A,3660
Total,2020 **,Nutritional anemias(D50-D53),17,0.1,3663
Total,2021 **,Nutritional anemias(D50-D53),0,N/A,3666
Total,Total,Nutritional anemias(D50-D53),17,0.1,3669
Hispanic,2020 **,Hemolytic anemias (D55-D59),0,N/A,3672
Hispanic,2021 **,Hemolytic anemias (D55-D59),0,N/A,3675
Hispanic,Total,Hemolytic anemias (D55-D59),0,N/A,3678
Non-Hispanic,2020 **,Hemolytic anemias (D55-D59),27,0.2,3681
Non-Hispanic,2021 **,Hemolytic anemias (D55-D59),0,N/A,3684
Non-Hispanic,Total,Hemolytic anemias (D55-D59),27,0.1,3687
Unknown,2020 **,Hemolytic anemias (D55-D59),0,N/A,3690
Unknown,2021 **,Hemolytic anemias (D55-D59),0,N/A,3693
Unknown,Total,Hemolytic anemias (D55-D59),0,N/A,3696
Total,2020 **,Hemolytic anemias (D55-D59),27,0.2,3699
Total,2021 **,Hemolytic anemias (D55-D59),0,N/A,3702
Total,Total,Hemolytic anemias (D55-D59),27,0.1,3705
Hispanic,2020 **,Aplastic anemias (D60-D61),0,N/A,3708
Hispanic,2021 **,Aplastic anemias (D60-D61),0,N/A,3711
Hispanic,Total,Aplastic anemias (D60-D61),0,N/A,3714
Non-Hispanic,2020 **,Aplastic anemias (D60-D61),33,0.2,3717
Non-Hispanic,2021 **,Aplastic anemias (D60-D61),1,N/A,3720
Non-Hispanic,Total,Aplastic anemias (D60-D61),34,0.1,3723
Unknown,2020 **,Aplastic anemias (D60-D61),0,N/A,3726
Unknown,2021 **,Aplastic anemias (D60-D61),0,N/A,3729
Unknown,Total,Aplastic anemias (D60-D61),0,N/A,3732
Total,2020 **,Aplastic anemias (D60-D61),33,0.2,3735
Total,2021 **,Aplastic anemias (D60-D61),1,N/A,3738
Total,Total,Aplastic anemias (D60-D61),34,0.1,3741
Hispanic,2020 **,Acute posthemorrhagic and other anemias(D62D64),3,N/A,3744
Hispanic,2021 **,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3747
Hispanic,Total,Acute posthemorrhagic and other anemias(D62D64),3,N/A,3750
Non-Hispanic,2020 **,Acute posthemorrhagic and other anemias(D62D64),115,0.8,3753
Non-Hispanic,2021 **,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3756
Non-Hispanic,Total,Acute posthemorrhagic and other anemias(D62D64),115,0.4,3759
Unknown,2020 **,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3762
Unknown,2021 **,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3765
Unknown,Total,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3768
Total,2020 **,Acute posthemorrhagic and other anemias(D62D64),118,0.8,3771
Total,2021 **,Acute posthemorrhagic and other anemias(D62D64),0,N/A,3774
Total,Total,Acute posthemorrhagic and other anemias(D62D64),118,0.4,3777
Hispanic,2020 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),4,N/A,3780
Hispanic,2021 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3783
Hispanic,Total,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),4,N/A,3786
Non-Hispanic,2020 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),97,0.7,3789
Non-Hispanic,2021 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3792
Non-Hispanic,Total,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),97,0.3,3795
Unknown,2020 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3798
Unknown,2021 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3801
Unknown,Total,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3804
Total,2020 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),101,0.7,3807
Total,2021 **,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),0,N/A,3810
Total,Total,Coagulation defects purpura and other hemorrhagic conditions (D65-D69),101,0.3,3813
Hispanic,2020 **,Other diseases of blood and blood-forming organs (D70-D76),2,N/A,3816
Hispanic,2021 **,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3819
Hispanic,Total,Other diseases of blood and blood-forming organs (D70-D76),2,N/A,3822
Non-Hispanic,2020 **,Other diseases of blood and blood-forming organs (D70-D76),35,0.3,3825
Non-Hispanic,2021 **,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3828
Non-Hispanic,Total,Other diseases of blood and blood-forming organs (D70-D76),35,0.1,3831
Unknown,2020 **,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3834
Unknown,2021 **,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3837
Unknown,Total,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3840
Total,2020 **,Other diseases of blood and blood-forming organs (D70-D76),37,0.3,3843
Total,2021 **,Other diseases of blood and blood-forming organs (D70-D76),0,N/A,3846
Total,Total,Other diseases of blood and blood-forming organs (D70-D76),37,0.1,3849
Hispanic,2020 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3852
Hispanic,2021 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3855
Hispanic,Total,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3858
Non-Hispanic,2020 **,Certain disorders involving the immune mechanism (D80-D89),60,0.4,3861
Non-Hispanic,2021 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3864
Non-Hispanic,Total,Certain disorders involving the immune mechanism (D80-D89),60,0.2,3867
Unknown,2020 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3870
Unknown,2021 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3873
Unknown,Total,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3876
Total,2020 **,Certain disorders involving the immune mechanism (D80-D89),60,0.4,3879
Total,2021 **,Certain disorders involving the immune mechanism (D80-D89),0,N/A,3882
Total,Total,Certain disorders involving the immune mechanism (D80-D89),60,0.2,3885
Hispanic,2020 **,Disorders of thyroid gland(E00-E07),0,N/A,3888
Hispanic,2021 **,Disorders of thyroid gland(E00-E07),0,N/A,3891
Hispanic,Total,Disorders of thyroid gland(E00-E07),0,N/A,3894
Non-Hispanic,2020 **,Disorders of thyroid gland(E00-E07),61,0.4,3897
Non-Hispanic,2021 **,Disorders of thyroid gland(E00-E07),1,N/A,3900
Non-Hispanic,Total,Disorders of thyroid gland(E00-E07),62,0.2,3903
Unknown,2020 **,Disorders of thyroid gland(E00-E07),0,N/A,3906
Unknown,2021 **,Disorders of thyroid gland(E00-E07),0,N/A,3909
Unknown,Total,Disorders of thyroid gland(E00-E07),0,N/A,3912
Total,2020 **,Disorders of thyroid gland(E00-E07),61,0.4,3915
Total,2021 **,Disorders of thyroid gland(E00-E07),1,N/A,3918
Total,Total,Disorders of thyroid gland(E00-E07),62,0.2,3921
Hispanic,2020 **,Diabetes mellitus (E10-E14),51,18.7,3924
Hispanic,2021 **,Diabetes mellitus (E10-E14),0,N/A,3927
Hispanic,Total,Diabetes mellitus (E10-E14),51,9.3,3930
Non-Hispanic,2020 **,Diabetes mellitus (E10-E14),3850,25.5,3933
Non-Hispanic,2021 **,Diabetes mellitus (E10-E14),3,N/A,3936
Non-Hispanic,Total,Diabetes mellitus (E10-E14),3853,12.8,3939
Unknown,2020 **,Diabetes mellitus (E10-E14),0,N/A,3942
Unknown,2021 **,Diabetes mellitus (E10-E14),0,N/A,3945
Unknown,Total,Diabetes mellitus (E10-E14),0,N/A,3948
Total,2020 **,Diabetes mellitus (E10-E14),3901,25.4,3951
Total,2021 **,Diabetes mellitus (E10-E14),3,N/A,3954
Total,Total,Diabetes mellitus (E10-E14),3904,12.7,3957
Hispanic,2020 **,Disorders of pituitary gland (E22-E23),0,N/A,3960
Hispanic,2021 **,Disorders of pituitary gland (E22-E23),0,N/A,3963
Hispanic,Total,Disorders of pituitary gland (E22-E23),0,N/A,3966
Non-Hispanic,2020 **,Disorders of pituitary gland (E22-E23),8,N/A,3969
Non-Hispanic,2021 **,Disorders of pituitary gland (E22-E23),0,N/A,3972
Non-Hispanic,Total,Disorders of pituitary gland (E22-E23),8,N/A,3975
Unknown,2020 **,Disorders of pituitary gland (E22-E23),0,N/A,3978
Unknown,2021 **,Disorders of pituitary gland (E22-E23),0,N/A,3981
Unknown,Total,Disorders of pituitary gland (E22-E23),0,N/A,3984
Total,2020 **,Disorders of pituitary gland (E22-E23),8,N/A,3987
Total,2021 **,Disorders of pituitary gland (E22-E23),0,N/A,3990
Total,Total,Disorders of pituitary gland (E22-E23),8,N/A,3993
Hispanic,2020 **,Disorders of adrenal glands(E24-E27),0,N/A,3996
Hispanic,2021 **,Disorders of adrenal glands(E24-E27),0,N/A,3999
Hispanic,Total,Disorders of adrenal glands(E24-E27),0,N/A,4002
Non-Hispanic,2020 **,Disorders of adrenal glands(E24-E27),5,N/A,4005
Non-Hispanic,2021 **,Disorders of adrenal glands(E24-E27),0,N/A,4008
Non-Hispanic,Total,Disorders of adrenal glands(E24-E27),5,N/A,4011
Unknown,2020 **,Disorders of adrenal glands(E24-E27),0,N/A,4014
Unknown,2021 **,Disorders of adrenal glands(E24-E27),0,N/A,4017
Unknown,Total,Disorders of adrenal glands(E24-E27),0,N/A,4020
Total,2020 **,Disorders of adrenal glands(E24-E27),5,N/A,4023
Total,2021 **,Disorders of adrenal glands(E24-E27),0,N/A,4026
Total,Total,Disorders of adrenal glands(E24-E27),5,N/A,4029
Hispanic,2020 **,Diseases of thymus(E32),0,N/A,4032
Hispanic,2021 **,Diseases of thymus(E32),0,N/A,4035
Hispanic,Total,Diseases of thymus(E32),0,N/A,4038
Non-Hispanic,2020 **,Diseases of thymus(E32),0,N/A,4041
Non-Hispanic,2021 **,Diseases of thymus(E32),0,N/A,4044
Non-Hispanic,Total,Diseases of thymus(E32),0,N/A,4047
Unknown,2020 **,Diseases of thymus(E32),0,N/A,4050
Unknown,2021 **,Diseases of thymus(E32),0,N/A,4053
Unknown,Total,Diseases of thymus(E32),0,N/A,4056
Total,2020 **,Diseases of thymus(E32),0,N/A,4059
Total,2021 **,Diseases of thymus(E32),0,N/A,4062
Total,Total,Diseases of thymus(E32),0,N/A,4065
Hispanic,2020 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4068
Hispanic,2021 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4071
Hispanic,Total,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4074
Non-Hispanic,2020 **,Other endocrine diseases (E15-E21E28-E31E34),22,0.2,4077
Non-Hispanic,2021 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4080
Non-Hispanic,Total,Other endocrine diseases (E15-E21E28-E31E34),22,0.1,4083
Unknown,2020 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4086
Unknown,2021 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4089
Unknown,Total,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4092
Total,2020 **,Other endocrine diseases (E15-E21E28-E31E34),22,0.2,4095
Total,2021 **,Other endocrine diseases (E15-E21E28-E31E34),0,N/A,4098
Total,Total,Other endocrine diseases (E15-E21E28-E31E34),22,0.1,4101
Hispanic,2020 **,Nutritional marasmus (E41),1,N/A,4104
Hispanic,2021 **,Nutritional marasmus (E41),0,N/A,4107
Hispanic,Total,Nutritional marasmus (E41),1,N/A,4110
Non-Hispanic,2020 **,Nutritional marasmus (E41),4,N/A,4113
Non-Hispanic,2021 **,Nutritional marasmus (E41),0,N/A,4116
Non-Hispanic,Total,Nutritional marasmus (E41),4,N/A,4119
Unknown,2020 **,Nutritional marasmus (E41),0,N/A,4122
Unknown,2021 **,Nutritional marasmus (E41),0,N/A,4125
Unknown,Total,Nutritional marasmus (E41),0,N/A,4128
Total,2020 **,Nutritional marasmus (E41),5,N/A,4131
Total,2021 **,Nutritional marasmus (E41),0,N/A,4134
Total,Total,Nutritional marasmus (E41),5,N/A,4137
Hispanic,2020 **,Other and unspecified malnutrition (E40E42-E46),8,N/A,4140
Hispanic,2021 **,Other and unspecified malnutrition (E40E42-E46),0,N/A,4143
Hispanic,Total,Other and unspecified malnutrition (E40E42-E46),8,N/A,4146
Non-Hispanic,2020 **,Other and unspecified malnutrition (E40E42-E46),548,3.5,4149
Non-Hispanic,2021 **,Other and unspecified malnutrition (E40E42-E46),1,N/A,4152
Non-Hispanic,Total,Other and unspecified malnutrition (E40E42-E46),549,1.8,4155
Unknown,2020 **,Other and unspecified malnutrition (E40E42-E46),0,N/A,4158
Unknown,2021 **,Other and unspecified malnutrition (E40E42-E46),0,N/A,4161
Unknown,Total,Other and unspecified malnutrition (E40E42-E46),0,N/A,4164
Total,2020 **,Other and unspecified malnutrition (E40E42-E46),556,3.5,4167
Total,2021 **,Other and unspecified malnutrition (E40E42-E46),1,N/A,4170
Total,Total,Other and unspecified malnutrition (E40E42-E46),557,1.8,4173
Hispanic,2020 **,Other nutritional deficiencies (E50-E64),0,N/A,4176
Hispanic,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,4179
Hispanic,Total,Other nutritional deficiencies (E50-E64),0,N/A,4182
Non-Hispanic,2020 **,Other nutritional deficiencies (E50-E64),8,N/A,4185
Non-Hispanic,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,4188
Non-Hispanic,Total,Other nutritional deficiencies (E50-E64),8,N/A,4191
Unknown,2020 **,Other nutritional deficiencies (E50-E64),0,N/A,4194
Unknown,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,4197
Unknown,Total,Other nutritional deficiencies (E50-E64),0,N/A,4200
Total,2020 **,Other nutritional deficiencies (E50-E64),8,N/A,4203
Total,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,4206
Total,Total,Other nutritional deficiencies (E50-E64),8,N/A,4209
Hispanic,2020 **,Obesity and other hyperalimentation (E65-E68),8,N/A,4212
Hispanic,2021 **,Obesity and other hyperalimentation (E65-E68),0,N/A,4215
Hispanic,Total,Obesity and other hyperalimentation (E65-E68),8,N/A,4218
Non-Hispanic,2020 **,Obesity and other hyperalimentation (E65-E68),302,2.2,4221
Non-Hispanic,2021 **,Obesity and other hyperalimentation (E65-E68),0,N/A,4224
Non-Hispanic,Total,Obesity and other hyperalimentation (E65-E68),302,1.1,4227
Unknown,2020 **,Obesity and other hyperalimentation (E65-E68),0,N/A,4230
Unknown,2021 **,Obesity and other hyperalimentation (E65-E68),0,N/A,4233
Unknown,Total,Obesity and other hyperalimentation (E65-E68),0,N/A,4236
Total,2020 **,Obesity and other hyperalimentation (E65-E68),310,2.2,4239
Total,2021 **,Obesity and other hyperalimentation (E65-E68),0,N/A,4242
Total,Total,Obesity and other hyperalimentation (E65-E68),310,1.1,4245
Hispanic,2020 **,Cystic fibrosis(E84),0,N/A,4248
Hispanic,2021 **,Cystic fibrosis(E84),0,N/A,4251
Hispanic,Total,Cystic fibrosis(E84),0,N/A,4254
Non-Hispanic,2020 **,Cystic fibrosis(E84),7,N/A,4257
Non-Hispanic,2021 **,Cystic fibrosis(E84),0,N/A,4260
Non-Hispanic,Total,Cystic fibrosis(E84),7,N/A,4263
Unknown,2020 **,Cystic fibrosis(E84),0,N/A,4266
Unknown,2021 **,Cystic fibrosis(E84),0,N/A,4269
Unknown,Total,Cystic fibrosis(E84),0,N/A,4272
Total,2020 **,Cystic fibrosis(E84),7,N/A,4275
Total,2021 **,Cystic fibrosis(E84),0,N/A,4278
Total,Total,Cystic fibrosis(E84),7,N/A,4281
Hispanic,2020 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),3,N/A,4284
Hispanic,2021 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4287
Hispanic,Total,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),3,N/A,4290
Non-Hispanic,2020 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),224,1.5,4293
Non-Hispanic,2021 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4296
Non-Hispanic,Total,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),224,0.8,4299
Unknown,2020 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4302
Unknown,2021 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4305
Unknown,Total,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4308
Total,2020 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),227,1.5,4311
Total,2021 **,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),0,N/A,4314
Total,Total,Volume depletion disorders of fluid electrolyte and acid-base balance(E86-E87),227,0.8,4317
Hispanic,2020 **,Other metabolic disordersE70-E83E85E88),10,4.8,4320
Hispanic,2021 **,Other metabolic disordersE70-E83E85E88),0,N/A,4323
Hispanic,Total,Other metabolic disordersE70-E83E85E88),10,2.4,4326
Non-Hispanic,2020 **,Other metabolic disordersE70-E83E85E88),1276,8.3,4329
Non-Hispanic,2021 **,Other metabolic disordersE70-E83E85E88),2,N/A,4332
Non-Hispanic,Total,Other metabolic disordersE70-E83E85E88),1278,4.2,4335
Unknown,2020 **,Other metabolic disordersE70-E83E85E88),0,N/A,4338
Unknown,2021 **,Other metabolic disordersE70-E83E85E88),0,N/A,4341
Unknown,Total,Other metabolic disordersE70-E83E85E88),0,N/A,4344
Total,2020 **,Other metabolic disordersE70-E83E85E88),1286,8.3,4347
Total,2021 **,Other metabolic disordersE70-E83E85E88),2,N/A,4350
Total,Total,Other metabolic disordersE70-E83E85E88),1288,4.1,4353
Hispanic,2020 **,Organic dementia (F01F03),30,14.2,4356
Hispanic,2021 **,Organic dementia (F01F03),0,N/A,4359
Hispanic,Total,Organic dementia (F01F03),30,7.1,4362
Non-Hispanic,2020 **,Organic dementia (F01F03),5445,35.2,4365
Non-Hispanic,2021 **,Organic dementia (F01F03),5,N/A,4368
Non-Hispanic,Total,Organic dementia (F01F03),5450,17.6,4371
Unknown,2020 **,Organic dementia (F01F03),0,N/A,4374
Unknown,2021 **,Organic dementia (F01F03),0,N/A,4377
Unknown,Total,Organic dementia (F01F03),0,N/A,4380
Total,2020 **,Organic dementia (F01F03),5475,35.0,4383
Total,2021 **,Organic dementia (F01F03),5,N/A,4386
Total,Total,Organic dementia (F01F03),5480,17.5,4389
Hispanic,2020 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4392
Hispanic,2021 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4395
Hispanic,Total,Other and unspecified organic mental disorders (F04-F09),0,N/A,4398
Non-Hispanic,2020 **,Other and unspecified organic mental disorders (F04-F09),26,0.2,4401
Non-Hispanic,2021 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4404
Non-Hispanic,Total,Other and unspecified organic mental disorders (F04-F09),26,0.1,4407
Unknown,2020 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4410
Unknown,2021 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4413
Unknown,Total,Other and unspecified organic mental disorders (F04-F09),0,N/A,4416
Total,2020 **,Other and unspecified organic mental disorders (F04-F09),26,0.2,4419
Total,2021 **,Other and unspecified organic mental disorders (F04-F09),0,N/A,4422
Total,Total,Other and unspecified organic mental disorders (F04-F09),26,0.1,4425
Hispanic,2020 **,Mental and behavioral disorders due to use of alcohol(F10),8,N/A,4428
Hispanic,2021 **,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4431
Hispanic,Total,Mental and behavioral disorders due to use of alcohol(F10),8,N/A,4434
Non-Hispanic,2020 **,Mental and behavioral disorders due to use of alcohol(F10),447,3.2,4437
Non-Hispanic,2021 **,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4440
Non-Hispanic,Total,Mental and behavioral disorders due to use of alcohol(F10),447,1.6,4443
Unknown,2020 **,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4446
Unknown,2021 **,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4449
Unknown,Total,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4452
Total,2020 **,Mental and behavioral disorders due to use of alcohol(F10),455,3.2,4455
Total,2021 **,Mental and behavioral disorders due to use of alcohol(F10),0,N/A,4458
Total,Total,Mental and behavioral disorders due to use of alcohol(F10),455,1.6,4461
Hispanic,2020 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),2,N/A,4464
Hispanic,2021 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),0,N/A,4467
Hispanic,Total,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),2,N/A,4470
Non-Hispanic,2020 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),174,1.5,4473
Non-Hispanic,2021 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),2,N/A,4476
Non-Hispanic,Total,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),176,0.8,4479
Unknown,2020 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),0,N/A,4482
Unknown,2021 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),0,N/A,4485
Unknown,Total,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),0,N/A,4488
Total,2020 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),176,1.5,4491
Total,2021 **,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),2,N/A,4494
Total,Total,Mental and behavioral disorders due to other psychoactive substance use(F11-F19),178,0.7,4497
Hispanic,2020 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4500
Hispanic,2021 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4503
Hispanic,Total,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4506
Non-Hispanic,2020 **,Schizophrenia schizotypal and delusional disorders(F20-F29),22,0.1,4509
Non-Hispanic,2021 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4512
Non-Hispanic,Total,Schizophrenia schizotypal and delusional disorders(F20-F29),22,0.1,4515
Unknown,2020 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4518
Unknown,2021 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4521
Unknown,Total,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4524
Total,2020 **,Schizophrenia schizotypal and delusional disorders(F20-F29),22,0.1,4527
Total,2021 **,Schizophrenia schizotypal and delusional disorders(F20-F29),0,N/A,4530
Total,Total,Schizophrenia schizotypal and delusional disorders(F20-F29),22,0.1,4533
Hispanic,2020 **,Mood (affective) disorders (F30-F39),0,N/A,4536
Hispanic,2021 **,Mood (affective) disorders (F30-F39),0,N/A,4539
Hispanic,Total,Mood (affective) disorders (F30-F39),0,N/A,4542
Non-Hispanic,2020 **,Mood (affective) disorders (F30-F39),27,0.2,4545
Non-Hispanic,2021 **,Mood (affective) disorders (F30-F39),0,N/A,4548
Non-Hispanic,Total,Mood (affective) disorders (F30-F39),27,0.1,4551
Unknown,2020 **,Mood (affective) disorders (F30-F39),0,N/A,4554
Unknown,2021 **,Mood (affective) disorders (F30-F39),0,N/A,4557
Unknown,Total,Mood (affective) disorders (F30-F39),0,N/A,4560
Total,2020 **,Mood (affective) disorders (F30-F39),27,0.2,4563
Total,2021 **,Mood (affective) disorders (F30-F39),0,N/A,4566
Total,Total,Mood (affective) disorders (F30-F39),27,0.1,4569
Hispanic,2020 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4572
Hispanic,2021 **,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4575
Hispanic,Total,Neurotic stress-related and somatoform disorders(F40-F48),0,N/A,4578
Non-Hispanic,2020 **,Neurotic stress-related and somatoform disorders(F40-F48),8,N/A,4581
