DeathEthnicityEthnicityDesc,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Unknown,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),0,N/A,1134
Total,Motor vehicle accidents (V02-V04V09.0V09.2V12-V14V19.0-V19.2V19.4-V19.6V20-V79V80.3-V80.5V81.0-V81.1V82.0-V82.1V83-V86V87.0-V87.8V88.0-V88.8V89.0V89.2),4,N/A,1137
Hispanic,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1140
Non-Hispanic,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1143
Unknown,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1146
Total,Other land transport accidents (V01V05-V06V09.1V09.3-V09.9V10-V11V15-V18V19.3V19.8-V19.9V80.0-V80.2V80.6-V80.9V81.2-V81.9V82.2-V82.9V87.9V88.9V89.1V89.3V89.9),0,N/A,1149
Hispanic,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,1152
Non-Hispanic,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,1155
Unknown,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,1158
Total,Water air and space and other and unspecified transport accidents and their sequelae (V90-V99Y85),0,N/A,1161
Hispanic,Falls (W00-W19),0,N/A,1164
Non-Hispanic,Falls (W00-W19),3,N/A,1167
Unknown,Falls (W00-W19),0,N/A,1170
Total,Falls (W00-W19),3,N/A,1173
Hispanic,Accidental discharge of firearms (W32-W34),0,N/A,1176
Non-Hispanic,Accidental discharge of firearms (W32-W34),1,N/A,1179
Unknown,Accidental discharge of firearms (W32-W34),0,N/A,1182
Total,Accidental discharge of firearms (W32-W34),1,N/A,1185
Hispanic,Accidental drowning and submersion (W65-W74),0,N/A,1188
Non-Hispanic,Accidental drowning and submersion (W65-W74),0,N/A,1191
Unknown,Accidental drowning and submersion (W65-W74),0,N/A,1194
Total,Accidental drowning and submersion (W65-W74),0,N/A,1197
Hispanic,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,1200
Non-Hispanic,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,1203
Unknown,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,1206
Total,Accidental exposure to smoke fire and flames (X00-X09),0,N/A,1209
Hispanic,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,1212
Non-Hispanic,Accidental poisoning and exposure to noxious substances (X40-X49),2,N/A,1215
Unknown,Accidental poisoning and exposure to noxious substances (X40-X49),0,N/A,1218
Total,Accidental poisoning and exposure to noxious substances (X40-X49),2,N/A,1221
Hispanic,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,1224
Non-Hispanic,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),3,N/A,1227
Unknown,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),0,N/A,1230
Total,Other and unspecified nontransport accidents and their sequelae (W20-W31W35-W64W75-W99X10-X39X50-X59Y86),3,N/A,1233
Hispanic,Intentional self-harm (suicide) by discharge of firearms (X72-X74),1,N/A,1236
Non-Hispanic,Intentional self-harm (suicide) by discharge of firearms (X72-X74),5,N/A,1239
Unknown,Intentional self-harm (suicide) by discharge of firearms (X72-X74),0,N/A,1242
Total,Intentional self-harm (suicide) by discharge of firearms (X72-X74),6,N/A,1245
Hispanic,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,1248
Non-Hispanic,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1,N/A,1251
Unknown,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),0,N/A,1254
Total,Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03X60-X71X75-X84Y87.0),1,N/A,1257
Hispanic,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,1260
Non-Hispanic,Assault (homicide) by discharge of firearms (*U01.4X93-X95),1,N/A,1263
Unknown,Assault (homicide) by discharge of firearms (*U01.4X93-X95),0,N/A,1266
Total,Assault (homicide) by discharge of firearms (*U01.4X93-X95),1,N/A,1269
Hispanic,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,1272
Non-Hispanic,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,1275
Unknown,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,1278
Total,Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3*U01.5-*U01.9*U02X85-X92X96-Y09Y87.1),0,N/A,1281
Hispanic,Legal intervention (Y35Y89.0),0,N/A,1284
Non-Hispanic,Legal intervention (Y35Y89.0),0,N/A,1287
Unknown,Legal intervention (Y35Y89.0),0,N/A,1290
Total,Legal intervention (Y35Y89.0),0,N/A,1293
Hispanic,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,1296
Non-Hispanic,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,1299
Unknown,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,1302
Total,Discharge of firearms undetermined intent (Y22-Y24),0,N/A,1305
Hispanic,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,1308
Non-Hispanic,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,1311
Unknown,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,1314
Total,Other and unspecified events of undetermined intent and their sequelae (Y10-Y21Y25-Y34Y87.2Y89.9),0,N/A,1317
Hispanic,Operations of war and their sequelae (Y36Y89.1),0,N/A,1320
Non-Hispanic,Operations of war and their sequelae (Y36Y89.1),0,N/A,1323
Unknown,Operations of war and their sequelae (Y36Y89.1),0,N/A,1326
Total,Operations of war and their sequelae (Y36Y89.1),0,N/A,1329
Hispanic,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,1332
Non-Hispanic,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,1335
Unknown,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,1338
Total,Complications of medical and surgical care (Y40-Y84Y88),0,N/A,1341
Hispanic,Total,42,0,1344
Non-Hispanic,Total,4468,0,1347
Unknown,Total,1,N/A,1350
Total,Total,4511,0,1353
