DeathEducationLevelEducationLevel,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
COLLEGE BUT NO DEGREE,Malignant neoplasm of prostate (C61),1620,0.7,879
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of prostate (C61),702,0.3,882
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of prostate (C61),1920,0.9,885
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of prostate (C61),786,0.4,888
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of prostate (C61),567,0.3,891
UNKNOWN,Malignant neoplasm of prostate (C61),230,0.1,894
Total,Malignant neoplasm of prostate (C61),16261,7.5,897
8TH GRADE OR LESS,Malignant neoplasms of kidney and renal pelvis (C64-C65),491,0.2,900
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of kidney and renal pelvis (C64-C65),872,0.4,903
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of kidney and renal pelvis (C64-C65),4134,1.9,906
COLLEGE BUT NO DEGREE,Malignant neoplasms of kidney and renal pelvis (C64-C65),843,0.4,909
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of kidney and renal pelvis (C64-C65),466,0.2,912
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of kidney and renal pelvis (C64-C65),770,0.4,915
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of kidney and renal pelvis (C64-C65),292,0.1,918
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of kidney and renal pelvis (C64-C65),119,0.1,921
UNKNOWN,Malignant neoplasms of kidney and renal pelvis (C64-C65),106,0.0,924
Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),8093,3.8,927
8TH GRADE OR LESS,Malignant neoplasm of bladder (C67),730,0.3,930
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasm of bladder (C67),1309,0.6,933
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasm of bladder (C67),4895,2.3,936
COLLEGE BUT NO DEGREE,Malignant neoplasm of bladder (C67),977,0.5,939
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasm of bladder (C67),426,0.2,942
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasm of bladder (C67),949,0.4,945
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasm of bladder (C67),377,0.2,948
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasm of bladder (C67),191,0.1,951
UNKNOWN,Malignant neoplasm of bladder (C67),138,0.1,954
Total,Malignant neoplasm of bladder (C67),9992,4.6,957
8TH GRADE OR LESS,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),486,0.3,960
9TH THRU 12TH GRADE; NO DIPLOMA,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),593,0.3,963
HIGH SCHOOL GRADUATE OR GED,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),3874,1.9,966
COLLEGE BUT NO DEGREE,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),999,0.5,969
ASSOCIATE DEGREE (E.G. AA AS),Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),645,0.3,972
BACHELORS DEGREE (E.G. BA AB BS),Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1220,0.6,975
MASTERS DEGREE (E.G. MA MS..),Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),560,0.3,978
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),222,0.1,981
UNKNOWN,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),109,0.1,984
Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),8708,4.2,987
8TH GRADE OR LESS,Hodgkin's disease (C81),33,0.0,990
9TH THRU 12TH GRADE; NO DIPLOMA,Hodgkin's disease (C81),65,0.0,993
HIGH SCHOOL GRADUATE OR GED,Hodgkin's disease (C81),307,0.2,996
COLLEGE BUT NO DEGREE,Hodgkin's disease (C81),68,0.0,999
ASSOCIATE DEGREE (E.G. AA AS),Hodgkin's disease (C81),41,0.0,1002
BACHELORS DEGREE (E.G. BA AB BS),Hodgkin's disease (C81),71,0.0,1005
MASTERS DEGREE (E.G. MA MS..),Hodgkin's disease (C81),18,0.0,1008
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Hodgkin's disease (C81),13,0.0,1011
UNKNOWN,Hodgkin's disease (C81),8,N/A,1014
Total,Hodgkin's disease (C81),624,0.3,1017
8TH GRADE OR LESS,Non-Hodgkin's lymphoma (C82-C85),799,0.4,1020
9TH THRU 12TH GRADE; NO DIPLOMA,Non-Hodgkin's lymphoma (C82-C85),1314,0.6,1023
HIGH SCHOOL GRADUATE OR GED,Non-Hodgkin's lymphoma (C82-C85),6109,2.9,1026
COLLEGE BUT NO DEGREE,Non-Hodgkin's lymphoma (C82-C85),1159,0.5,1029
ASSOCIATE DEGREE (E.G. AA AS),Non-Hodgkin's lymphoma (C82-C85),645,0.3,1032
BACHELORS DEGREE (E.G. BA AB BS),Non-Hodgkin's lymphoma (C82-C85),1364,0.6,1035
MASTERS DEGREE (E.G. MA MS..),Non-Hodgkin's lymphoma (C82-C85),562,0.3,1038
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Non-Hodgkin's lymphoma (C82-C85),239,0.1,1041
UNKNOWN,Non-Hodgkin's lymphoma (C82-C85),169,0.1,1044
Total,Non-Hodgkin's lymphoma (C82-C85),12360,5.8,1047
8TH GRADE OR LESS,Leukemia (C91-C95),907,0.4,1050
9TH THRU 12TH GRADE; NO DIPLOMA,Leukemia (C91-C95),1401,0.7,1053
HIGH SCHOOL GRADUATE OR GED,Leukemia (C91-C95),6445,3.1,1056
COLLEGE BUT NO DEGREE,Leukemia (C91-C95),1399,0.7,1059
ASSOCIATE DEGREE (E.G. AA AS),Leukemia (C91-C95),750,0.4,1062
BACHELORS DEGREE (E.G. BA AB BS),Leukemia (C91-C95),1453,0.7,1065
MASTERS DEGREE (E.G. MA MS..),Leukemia (C91-C95),604,0.3,1068
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Leukemia (C91-C95),267,0.1,1071
UNKNOWN,Leukemia (C91-C95),190,0.1,1074
Total,Leukemia (C91-C95),13416,6.4,1077
8TH GRADE OR LESS,Multiple myeloma and immunoproliferative neoplasms (C88C90),387,0.2,1080
9TH THRU 12TH GRADE; NO DIPLOMA,Multiple myeloma and immunoproliferative neoplasms (C88C90),754,0.4,1083
HIGH SCHOOL GRADUATE OR GED,Multiple myeloma and immunoproliferative neoplasms (C88C90),3485,1.6,1086
COLLEGE BUT NO DEGREE,Multiple myeloma and immunoproliferative neoplasms (C88C90),764,0.4,1089
ASSOCIATE DEGREE (E.G. AA AS),Multiple myeloma and immunoproliferative neoplasms (C88C90),442,0.2,1092
BACHELORS DEGREE (E.G. BA AB BS),Multiple myeloma and immunoproliferative neoplasms (C88C90),838,0.4,1095
MASTERS DEGREE (E.G. MA MS..),Multiple myeloma and immunoproliferative neoplasms (C88C90),317,0.1,1098
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Multiple myeloma and immunoproliferative neoplasms (C88C90),158,0.1,1101
UNKNOWN,Multiple myeloma and immunoproliferative neoplasms (C88C90),93,0.0,1104
Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),7238,3.4,1107
8TH GRADE OR LESS,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1110
9TH THRU 12TH GRADE; NO DIPLOMA,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),2,N/A,1113
HIGH SCHOOL GRADUATE OR GED,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),14,0.0,1116
COLLEGE BUT NO DEGREE,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1119
ASSOCIATE DEGREE (E.G. AA AS),Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1122
BACHELORS DEGREE (E.G. BA AB BS),Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),5,N/A,1125
MASTERS DEGREE (E.G. MA MS..),Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1128
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1131
UNKNOWN,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1134
Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),26,0.0,1137
8TH GRADE OR LESS,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2610,1.3,1140
9TH THRU 12TH GRADE; NO DIPLOMA,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),4602,2.2,1143
HIGH SCHOOL GRADUATE OR GED,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),19963,9.3,1146
COLLEGE BUT NO DEGREE,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),3953,1.9,1149
ASSOCIATE DEGREE (E.G. AA AS),All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2147,1.0,1152
BACHELORS DEGREE (E.G. BA AB BS),All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),3798,1.8,1155
MASTERS DEGREE (E.G. MA MS..),All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1440,0.7,1158
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),573,0.3,1161
UNKNOWN,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),627,0.3,1164
Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),39713,18.7,1167
8TH GRADE OR LESS,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),801,0.4,1170
9TH THRU 12TH GRADE; NO DIPLOMA,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1067,0.5,1173
HIGH SCHOOL GRADUATE OR GED,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),4591,2.2,1176
COLLEGE BUT NO DEGREE,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),934,0.4,1179
ASSOCIATE DEGREE (E.G. AA AS),In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),489,0.2,1182
BACHELORS DEGREE (E.G. BA AB BS),In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),988,0.5,1185
MASTERS DEGREE (E.G. MA MS..),In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),388,0.2,1188
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),163,0.1,1191
UNKNOWN,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),183,0.1,1194
Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),9604,4.5,1197
8TH GRADE OR LESS,Anemias (D50-D64),308,0.1,1200
9TH THRU 12TH GRADE; NO DIPLOMA,Anemias (D50-D64),419,0.2,1203
HIGH SCHOOL GRADUATE OR GED,Anemias (D50-D64),1531,0.7,1206
COLLEGE BUT NO DEGREE,Anemias (D50-D64),294,0.1,1209
ASSOCIATE DEGREE (E.G. AA AS),Anemias (D50-D64),146,0.1,1212
BACHELORS DEGREE (E.G. BA AB BS),Anemias (D50-D64),279,0.1,1215
MASTERS DEGREE (E.G. MA MS..),Anemias (D50-D64),85,0.0,1218
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Anemias (D50-D64),30,0.0,1221
UNKNOWN,Anemias (D50-D64),66,0.0,1224
Total,Anemias (D50-D64),3158,1.5,1227
8TH GRADE OR LESS,Diabetes mellitus (E10-E14),4169,2.0,1230
9TH THRU 12TH GRADE; NO DIPLOMA,Diabetes mellitus (E10-E14),7397,3.5,1233
HIGH SCHOOL GRADUATE OR GED,Diabetes mellitus (E10-E14),26289,12.3,1236
COLLEGE BUT NO DEGREE,Diabetes mellitus (E10-E14),4706,2.2,1239
ASSOCIATE DEGREE (E.G. AA AS),Diabetes mellitus (E10-E14),2605,1.2,1242
BACHELORS DEGREE (E.G. BA AB BS),Diabetes mellitus (E10-E14),3666,1.7,1245
MASTERS DEGREE (E.G. MA MS..),Diabetes mellitus (E10-E14),1207,0.6,1248
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Diabetes mellitus (E10-E14),488,0.2,1251
UNKNOWN,Diabetes mellitus (E10-E14),962,0.4,1254
Total,Diabetes mellitus (E10-E14),51489,24.1,1257
8TH GRADE OR LESS,Malnutrition (E40-E46),345,0.2,1260
9TH THRU 12TH GRADE; NO DIPLOMA,Malnutrition (E40-E46),486,0.2,1263
HIGH SCHOOL GRADUATE OR GED,Malnutrition (E40-E46),1914,0.9,1266
COLLEGE BUT NO DEGREE,Malnutrition (E40-E46),312,0.1,1269
ASSOCIATE DEGREE (E.G. AA AS),Malnutrition (E40-E46),145,0.1,1272
BACHELORS DEGREE (E.G. BA AB BS),Malnutrition (E40-E46),321,0.1,1275
MASTERS DEGREE (E.G. MA MS..),Malnutrition (E40-E46),104,0.0,1278
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Malnutrition (E40-E46),33,0.0,1281
UNKNOWN,Malnutrition (E40-E46),107,0.0,1284
Total,Malnutrition (E40-E46),3767,1.7,1287
8TH GRADE OR LESS,Other nutritional deficiencies (E50-E64),13,0.0,1290
9TH THRU 12TH GRADE; NO DIPLOMA,Other nutritional deficiencies (E50-E64),15,0.0,1293
HIGH SCHOOL GRADUATE OR GED,Other nutritional deficiencies (E50-E64),50,0.0,1296
COLLEGE BUT NO DEGREE,Other nutritional deficiencies (E50-E64),11,0.0,1299
ASSOCIATE DEGREE (E.G. AA AS),Other nutritional deficiencies (E50-E64),2,N/A,1302
BACHELORS DEGREE (E.G. BA AB BS),Other nutritional deficiencies (E50-E64),10,0.0,1305
MASTERS DEGREE (E.G. MA MS..),Other nutritional deficiencies (E50-E64),4,N/A,1308
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other nutritional deficiencies (E50-E64),1,N/A,1311
UNKNOWN,Other nutritional deficiencies (E50-E64),4,N/A,1314
Total,Other nutritional deficiencies (E50-E64),110,0.1,1317
8TH GRADE OR LESS,Meningitis (G00G03),39,0.0,1320
9TH THRU 12TH GRADE; NO DIPLOMA,Meningitis (G00G03),32,0.0,1323
HIGH SCHOOL GRADUATE OR GED,Meningitis (G00G03),130,0.1,1326
COLLEGE BUT NO DEGREE,Meningitis (G00G03),30,0.0,1329
ASSOCIATE DEGREE (E.G. AA AS),Meningitis (G00G03),15,0.0,1332
BACHELORS DEGREE (E.G. BA AB BS),Meningitis (G00G03),22,0.0,1335
MASTERS DEGREE (E.G. MA MS..),Meningitis (G00G03),7,N/A,1338
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Meningitis (G00G03),2,N/A,1341
UNKNOWN,Meningitis (G00G03),15,0.0,1344
Total,Meningitis (G00G03),292,0.2,1347
8TH GRADE OR LESS,Parkinson's disease (G20-G21),1086,0.5,1350
9TH THRU 12TH GRADE; NO DIPLOMA,Parkinson's disease (G20-G21),1414,0.7,1353
HIGH SCHOOL GRADUATE OR GED,Parkinson's disease (G20-G21),7537,3.6,1356
COLLEGE BUT NO DEGREE,Parkinson's disease (G20-G21),1579,0.7,1359
ASSOCIATE DEGREE (E.G. AA AS),Parkinson's disease (G20-G21),706,0.3,1362
BACHELORS DEGREE (E.G. BA AB BS),Parkinson's disease (G20-G21),2026,1.0,1365
MASTERS DEGREE (E.G. MA MS..),Parkinson's disease (G20-G21),905,0.4,1368
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Parkinson's disease (G20-G21),515,0.2,1371
UNKNOWN,Parkinson's disease (G20-G21),188,0.1,1374
Total,Parkinson's disease (G20-G21),15956,7.6,1377
8TH GRADE OR LESS,Alzheimer's disease (G30),6341,2.9,1380
9TH THRU 12TH GRADE; NO DIPLOMA,Alzheimer's disease (G30),7687,3.5,1383
HIGH SCHOOL GRADUATE OR GED,Alzheimer's disease (G30),31909,14.6,1386
COLLEGE BUT NO DEGREE,Alzheimer's disease (G30),4745,2.2,1389
ASSOCIATE DEGREE (E.G. AA AS),Alzheimer's disease (G30),2587,1.2,1392
BACHELORS DEGREE (E.G. BA AB BS),Alzheimer's disease (G30),5579,2.5,1395
MASTERS DEGREE (E.G. MA MS..),Alzheimer's disease (G30),2191,1.0,1398
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Alzheimer's disease (G30),820,0.4,1401
UNKNOWN,Alzheimer's disease (G30),1108,0.5,1404
Total,Alzheimer's disease (G30),62967,28.7,1407
8TH GRADE OR LESS,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),148,0.1,1410
9TH THRU 12TH GRADE; NO DIPLOMA,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),251,0.1,1413
HIGH SCHOOL GRADUATE OR GED,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1026,0.5,1416
COLLEGE BUT NO DEGREE,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),167,0.1,1419
ASSOCIATE DEGREE (E.G. AA AS),Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),89,0.0,1422
BACHELORS DEGREE (E.G. BA AB BS),Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),163,0.1,1425
MASTERS DEGREE (E.G. MA MS..),Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),71,0.0,1428
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),24,0.0,1431
UNKNOWN,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),34,0.0,1434
Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),1973,0.9,1437
8TH GRADE OR LESS,Hypertensive heart disease (I11),1905,0.9,1440
9TH THRU 12TH GRADE; NO DIPLOMA,Hypertensive heart disease (I11),3329,1.6,1443
HIGH SCHOOL GRADUATE OR GED,Hypertensive heart disease (I11),12697,5.9,1446
COLLEGE BUT NO DEGREE,Hypertensive heart disease (I11),2391,1.1,1449
ASSOCIATE DEGREE (E.G. AA AS),Hypertensive heart disease (I11),1245,0.6,1452
BACHELORS DEGREE (E.G. BA AB BS),Hypertensive heart disease (I11),2042,0.9,1455
MASTERS DEGREE (E.G. MA MS..),Hypertensive heart disease (I11),697,0.3,1458
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Hypertensive heart disease (I11),306,0.1,1461
UNKNOWN,Hypertensive heart disease (I11),653,0.3,1464
Total,Hypertensive heart disease (I11),25265,11.8,1467
8TH GRADE OR LESS,Hypertensive heart and renal disease (I13),292,0.1,1470
9TH THRU 12TH GRADE; NO DIPLOMA,Hypertensive heart and renal disease (I13),466,0.2,1473
HIGH SCHOOL GRADUATE OR GED,Hypertensive heart and renal disease (I13),1702,0.8,1476
COLLEGE BUT NO DEGREE,Hypertensive heart and renal disease (I13),279,0.1,1479
ASSOCIATE DEGREE (E.G. AA AS),Hypertensive heart and renal disease (I13),142,0.1,1482
BACHELORS DEGREE (E.G. BA AB BS),Hypertensive heart and renal disease (I13),230,0.1,1485
MASTERS DEGREE (E.G. MA MS..),Hypertensive heart and renal disease (I13),93,0.0,1488
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Hypertensive heart and renal disease (I13),38,0.0,1491
UNKNOWN,Hypertensive heart and renal disease (I13),68,0.0,1494
Total,Hypertensive heart and renal disease (I13),3310,1.5,1497
8TH GRADE OR LESS,Acute myocardial infarction (I21-I22),5922,2.7,1500
9TH THRU 12TH GRADE; NO DIPLOMA,Acute myocardial infarction (I21-I22),9565,4.5,1503
HIGH SCHOOL GRADUATE OR GED,Acute myocardial infarction (I21-I22),36445,16.9,1506
COLLEGE BUT NO DEGREE,Acute myocardial infarction (I21-I22),5905,2.7,1509
ASSOCIATE DEGREE (E.G. AA AS),Acute myocardial infarction (I21-I22),3135,1.5,1512
BACHELORS DEGREE (E.G. BA AB BS),Acute myocardial infarction (I21-I22),5275,2.4,1515
MASTERS DEGREE (E.G. MA MS..),Acute myocardial infarction (I21-I22),1838,0.8,1518
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute myocardial infarction (I21-I22),797,0.4,1521
UNKNOWN,Acute myocardial infarction (I21-I22),1366,0.6,1524
Total,Acute myocardial infarction (I21-I22),70248,32.6,1527
8TH GRADE OR LESS,Other acute ischemic heart diseases (I24),247,0.1,1530
9TH THRU 12TH GRADE; NO DIPLOMA,Other acute ischemic heart diseases (I24),401,0.2,1533
HIGH SCHOOL GRADUATE OR GED,Other acute ischemic heart diseases (I24),1556,0.7,1536
COLLEGE BUT NO DEGREE,Other acute ischemic heart diseases (I24),204,0.1,1539
ASSOCIATE DEGREE (E.G. AA AS),Other acute ischemic heart diseases (I24),125,0.1,1542
BACHELORS DEGREE (E.G. BA AB BS),Other acute ischemic heart diseases (I24),194,0.1,1545
MASTERS DEGREE (E.G. MA MS..),Other acute ischemic heart diseases (I24),74,0.0,1548
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Other acute ischemic heart diseases (I24),27,0.0,1551
UNKNOWN,Other acute ischemic heart diseases (I24),69,0.0,1554
Total,Other acute ischemic heart diseases (I24),2897,1.4,1557
8TH GRADE OR LESS,Atherosclerotic cardiovascular disease so described (I25.0),1856,0.9,1560
9TH THRU 12TH GRADE; NO DIPLOMA,Atherosclerotic cardiovascular disease so described (I25.0),3885,1.8,1563
HIGH SCHOOL GRADUATE OR GED,Atherosclerotic cardiovascular disease so described (I25.0),15694,7.3,1566
COLLEGE BUT NO DEGREE,Atherosclerotic cardiovascular disease so described (I25.0),3094,1.4,1569
ASSOCIATE DEGREE (E.G. AA AS),Atherosclerotic cardiovascular disease so described (I25.0),1496,0.7,1572
BACHELORS DEGREE (E.G. BA AB BS),Atherosclerotic cardiovascular disease so described (I25.0),2588,1.2,1575
MASTERS DEGREE (E.G. MA MS..),Atherosclerotic cardiovascular disease so described (I25.0),932,0.4,1578
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Atherosclerotic cardiovascular disease so described (I25.0),419,0.2,1581
UNKNOWN,Atherosclerotic cardiovascular disease so described (I25.0),1010,0.4,1584
Total,Atherosclerotic cardiovascular disease so described (I25.0),30974,14.4,1587
8TH GRADE OR LESS,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),12001,5.5,1590
9TH THRU 12TH GRADE; NO DIPLOMA,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),17875,8.3,1593
HIGH SCHOOL GRADUATE OR GED,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),63632,29.3,1596
COLLEGE BUT NO DEGREE,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),10400,4.8,1599
ASSOCIATE DEGREE (E.G. AA AS),All other forms of chronic ischemic heart disease (I20I25.1-I25.9),5109,2.4,1602
BACHELORS DEGREE (E.G. BA AB BS),All other forms of chronic ischemic heart disease (I20I25.1-I25.9),9324,4.3,1605
MASTERS DEGREE (E.G. MA MS..),All other forms of chronic ischemic heart disease (I20I25.1-I25.9),3098,1.4,1608
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),1607,0.7,1611
UNKNOWN,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),2354,1.0,1614
Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),125400,57.7,1617
8TH GRADE OR LESS,Acute and subacute endocarditis (I33),50,0.0,1620
9TH THRU 12TH GRADE; NO DIPLOMA,Acute and subacute endocarditis (I33),148,0.1,1623
HIGH SCHOOL GRADUATE OR GED,Acute and subacute endocarditis (I33),483,0.2,1626
COLLEGE BUT NO DEGREE,Acute and subacute endocarditis (I33),102,0.0,1629
ASSOCIATE DEGREE (E.G. AA AS),Acute and subacute endocarditis (I33),58,0.0,1632
BACHELORS DEGREE (E.G. BA AB BS),Acute and subacute endocarditis (I33),74,0.0,1635
MASTERS DEGREE (E.G. MA MS..),Acute and subacute endocarditis (I33),29,0.0,1638
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Acute and subacute endocarditis (I33),13,0.0,1641
UNKNOWN,Acute and subacute endocarditis (I33),15,0.0,1644
Total,Acute and subacute endocarditis (I33),972,0.5,1647
8TH GRADE OR LESS,Diseases of pericardium and acute myocarditis (I30-I31I40),37,0.0,1650
9TH THRU 12TH GRADE; NO DIPLOMA,Diseases of pericardium and acute myocarditis (I30-I31I40),59,0.0,1653
HIGH SCHOOL GRADUATE OR GED,Diseases of pericardium and acute myocarditis (I30-I31I40),256,0.1,1656
COLLEGE BUT NO DEGREE,Diseases of pericardium and acute myocarditis (I30-I31I40),56,0.0,1659
ASSOCIATE DEGREE (E.G. AA AS),Diseases of pericardium and acute myocarditis (I30-I31I40),26,0.0,1662
BACHELORS DEGREE (E.G. BA AB BS),Diseases of pericardium and acute myocarditis (I30-I31I40),31,0.0,1665
MASTERS DEGREE (E.G. MA MS..),Diseases of pericardium and acute myocarditis (I30-I31I40),28,0.0,1668
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Diseases of pericardium and acute myocarditis (I30-I31I40),11,0.0,1671
UNKNOWN,Diseases of pericardium and acute myocarditis (I30-I31I40),20,0.0,1674
Total,Diseases of pericardium and acute myocarditis (I30-I31I40),524,0.3,1677
8TH GRADE OR LESS,Heart failure (I50),4000,1.8,1680
9TH THRU 12TH GRADE; NO DIPLOMA,Heart failure (I50),5215,2.4,1683
HIGH SCHOOL GRADUATE OR GED,Heart failure (I50),20226,9.2,1686
COLLEGE BUT NO DEGREE,Heart failure (I50),3270,1.5,1689
ASSOCIATE DEGREE (E.G. AA AS),Heart failure (I50),1616,0.7,1692
BACHELORS DEGREE (E.G. BA AB BS),Heart failure (I50),3073,1.4,1695
MASTERS DEGREE (E.G. MA MS..),Heart failure (I50),1060,0.5,1698
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Heart failure (I50),470,0.2,1701
UNKNOWN,Heart failure (I50),737,0.3,1704
Total,Heart failure (I50),39667,18.1,1707
8TH GRADE OR LESS,All other forms of heart disease (I26-I28I34-I38I42-I49I51),6663,3.1,1710
9TH THRU 12TH GRADE; NO DIPLOMA,All other forms of heart disease (I26-I28I34-I38I42-I49I51),10294,4.8,1713
HIGH SCHOOL GRADUATE OR GED,All other forms of heart disease (I26-I28I34-I38I42-I49I51),41840,19.5,1716
COLLEGE BUT NO DEGREE,All other forms of heart disease (I26-I28I34-I38I42-I49I51),7610,3.6,1719
