DeathEducationLevelEducationLevel,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
BACHELORS DEGREE (E.G. BA AB BS),Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),113,0.4,2931
MASTERS DEGREE (E.G. MA MS..),2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),56,0.4,2934
MASTERS DEGREE (E.G. MA MS..),2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1,N/A,2937
MASTERS DEGREE (E.G. MA MS..),Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),57,0.2,2940
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),22,0.1,2943
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2946
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),22,0.1,2949
UNKNOWN,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),6,N/A,2952
UNKNOWN,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,2955
UNKNOWN,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),6,N/A,2958
Total,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),621,4.3,2961
Total,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),4,N/A,2964
Total,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),625,2.2,2967
8TH GRADE OR LESS,2020 **,Hodgkin's disease (C81),0,N/A,2970
8TH GRADE OR LESS,2021 **,Hodgkin's disease (C81),0,N/A,2973
8TH GRADE OR LESS,Total,Hodgkin's disease (C81),0,N/A,2976
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Hodgkin's disease (C81),5,N/A,2979
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Hodgkin's disease (C81),0,N/A,2982
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Hodgkin's disease (C81),5,N/A,2985
HIGH SCHOOL GRADUATE OR GED,2020 **,Hodgkin's disease (C81),23,0.2,2988
HIGH SCHOOL GRADUATE OR GED,2021 **,Hodgkin's disease (C81),0,N/A,2991
HIGH SCHOOL GRADUATE OR GED,Total,Hodgkin's disease (C81),23,0.1,2994
COLLEGE BUT NO DEGREE,2020 **,Hodgkin's disease (C81),3,N/A,2997
COLLEGE BUT NO DEGREE,2021 **,Hodgkin's disease (C81),0,N/A,3000
COLLEGE BUT NO DEGREE,Total,Hodgkin's disease (C81),3,N/A,3003
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Hodgkin's disease (C81),1,N/A,3006
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Hodgkin's disease (C81),0,N/A,3009
ASSOCIATE DEGREE (E.G. AA AS),Total,Hodgkin's disease (C81),1,N/A,3012
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Hodgkin's disease (C81),4,N/A,3015
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Hodgkin's disease (C81),0,N/A,3018
BACHELORS DEGREE (E.G. BA AB BS),Total,Hodgkin's disease (C81),4,N/A,3021
MASTERS DEGREE (E.G. MA MS..),2020 **,Hodgkin's disease (C81),2,N/A,3024
MASTERS DEGREE (E.G. MA MS..),2021 **,Hodgkin's disease (C81),0,N/A,3027
MASTERS DEGREE (E.G. MA MS..),Total,Hodgkin's disease (C81),2,N/A,3030
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Hodgkin's disease (C81),0,N/A,3033
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Hodgkin's disease (C81),0,N/A,3036
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Hodgkin's disease (C81),0,N/A,3039
UNKNOWN,2020 **,Hodgkin's disease (C81),0,N/A,3042
UNKNOWN,2021 **,Hodgkin's disease (C81),0,N/A,3045
UNKNOWN,Total,Hodgkin's disease (C81),0,N/A,3048
Total,2020 **,Hodgkin's disease (C81),38,0.3,3051
Total,2021 **,Hodgkin's disease (C81),0,N/A,3054
Total,Total,Hodgkin's disease (C81),38,0.1,3057
8TH GRADE OR LESS,2020 **,Non-Hodgkin's lymphoma (C82-C85),28,0.2,3060
8TH GRADE OR LESS,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3063
8TH GRADE OR LESS,Total,Non-Hodgkin's lymphoma (C82-C85),28,0.1,3066
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Non-Hodgkin's lymphoma (C82-C85),66,0.4,3069
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3072
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Non-Hodgkin's lymphoma (C82-C85),66,0.2,3075
HIGH SCHOOL GRADUATE OR GED,2020 **,Non-Hodgkin's lymphoma (C82-C85),369,2.4,3078
HIGH SCHOOL GRADUATE OR GED,2021 **,Non-Hodgkin's lymphoma (C82-C85),2,N/A,3081
HIGH SCHOOL GRADUATE OR GED,Total,Non-Hodgkin's lymphoma (C82-C85),371,1.2,3084
COLLEGE BUT NO DEGREE,2020 **,Non-Hodgkin's lymphoma (C82-C85),85,0.6,3087
COLLEGE BUT NO DEGREE,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3090
COLLEGE BUT NO DEGREE,Total,Non-Hodgkin's lymphoma (C82-C85),85,0.3,3093
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Non-Hodgkin's lymphoma (C82-C85),56,0.4,3096
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Non-Hodgkin's lymphoma (C82-C85),1,N/A,3099
ASSOCIATE DEGREE (E.G. AA AS),Total,Non-Hodgkin's lymphoma (C82-C85),57,0.2,3102
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Non-Hodgkin's lymphoma (C82-C85),97,0.6,3105
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3108
BACHELORS DEGREE (E.G. BA AB BS),Total,Non-Hodgkin's lymphoma (C82-C85),97,0.3,3111
MASTERS DEGREE (E.G. MA MS..),2020 **,Non-Hodgkin's lymphoma (C82-C85),46,0.3,3114
MASTERS DEGREE (E.G. MA MS..),2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3117
MASTERS DEGREE (E.G. MA MS..),Total,Non-Hodgkin's lymphoma (C82-C85),46,0.1,3120
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Non-Hodgkin's lymphoma (C82-C85),15,0.1,3123
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,3126
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Non-Hodgkin's lymphoma (C82-C85),15,0.1,3129
UNKNOWN,2020 **,Non-Hodgkin's lymphoma (C82-C85),7,N/A,3132
UNKNOWN,2021 **,Non-Hodgkin's lymphoma (C82-C85),1,N/A,3135
UNKNOWN,Total,Non-Hodgkin's lymphoma (C82-C85),8,N/A,3138
Total,2020 **,Non-Hodgkin's lymphoma (C82-C85),769,5.0,3141
Total,2021 **,Non-Hodgkin's lymphoma (C82-C85),4,N/A,3144
Total,Total,Non-Hodgkin's lymphoma (C82-C85),773,2.5,3147
8TH GRADE OR LESS,2020 **,Leukemia (C91-C95),45,0.3,3150
8TH GRADE OR LESS,2021 **,Leukemia (C91-C95),0,N/A,3153
8TH GRADE OR LESS,Total,Leukemia (C91-C95),45,0.2,3156
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Leukemia (C91-C95),76,0.5,3159
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Leukemia (C91-C95),1,N/A,3162
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Leukemia (C91-C95),77,0.3,3165
HIGH SCHOOL GRADUATE OR GED,2020 **,Leukemia (C91-C95),437,2.9,3168
HIGH SCHOOL GRADUATE OR GED,2021 **,Leukemia (C91-C95),1,N/A,3171
HIGH SCHOOL GRADUATE OR GED,Total,Leukemia (C91-C95),438,1.4,3174
COLLEGE BUT NO DEGREE,2020 **,Leukemia (C91-C95),111,0.7,3177
COLLEGE BUT NO DEGREE,2021 **,Leukemia (C91-C95),1,N/A,3180
COLLEGE BUT NO DEGREE,Total,Leukemia (C91-C95),112,0.4,3183
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Leukemia (C91-C95),61,0.4,3186
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Leukemia (C91-C95),0,N/A,3189
ASSOCIATE DEGREE (E.G. AA AS),Total,Leukemia (C91-C95),61,0.2,3192
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Leukemia (C91-C95),106,0.7,3195
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Leukemia (C91-C95),0,N/A,3198
BACHELORS DEGREE (E.G. BA AB BS),Total,Leukemia (C91-C95),106,0.3,3201
MASTERS DEGREE (E.G. MA MS..),2020 **,Leukemia (C91-C95),39,0.3,3204
MASTERS DEGREE (E.G. MA MS..),2021 **,Leukemia (C91-C95),0,N/A,3207
MASTERS DEGREE (E.G. MA MS..),Total,Leukemia (C91-C95),39,0.1,3210
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Leukemia (C91-C95),15,0.1,3213
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Leukemia (C91-C95),0,N/A,3216
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Leukemia (C91-C95),15,0.0,3219
UNKNOWN,2020 **,Leukemia (C91-C95),9,N/A,3222
UNKNOWN,2021 **,Leukemia (C91-C95),0,N/A,3225
UNKNOWN,Total,Leukemia (C91-C95),9,N/A,3228
Total,2020 **,Leukemia (C91-C95),899,6.0,3231
Total,2021 **,Leukemia (C91-C95),3,N/A,3234
Total,Total,Leukemia (C91-C95),902,3.0,3237
8TH GRADE OR LESS,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),18,0.1,3240
8TH GRADE OR LESS,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3243
8TH GRADE OR LESS,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),18,0.1,3246
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),41,0.3,3249
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3252
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),41,0.1,3255
HIGH SCHOOL GRADUATE OR GED,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),239,1.5,3258
HIGH SCHOOL GRADUATE OR GED,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,3261
HIGH SCHOOL GRADUATE OR GED,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),240,0.8,3264
COLLEGE BUT NO DEGREE,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),64,0.4,3267
COLLEGE BUT NO DEGREE,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,3270
COLLEGE BUT NO DEGREE,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),65,0.2,3273
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),32,0.2,3276
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3279
ASSOCIATE DEGREE (E.G. AA AS),Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),32,0.1,3282
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),62,0.4,3285
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,3288
BACHELORS DEGREE (E.G. BA AB BS),Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),63,0.2,3291
MASTERS DEGREE (E.G. MA MS..),2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),37,0.2,3294
MASTERS DEGREE (E.G. MA MS..),2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3297
MASTERS DEGREE (E.G. MA MS..),Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),37,0.1,3300
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),8,N/A,3303
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3306
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),8,N/A,3309
UNKNOWN,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,3312
UNKNOWN,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,3315
UNKNOWN,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,3318
Total,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),504,3.2,3321
Total,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,3324
Total,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),507,1.6,3327
8TH GRADE OR LESS,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3330
8TH GRADE OR LESS,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3333
8TH GRADE OR LESS,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3336
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3339
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3342
9TH THRU 12TH GRADE; NO DIPLOMA,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3345
HIGH SCHOOL GRADUATE OR GED,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,3348
HIGH SCHOOL GRADUATE OR GED,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3351
HIGH SCHOOL GRADUATE OR GED,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,3354
COLLEGE BUT NO DEGREE,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3357
COLLEGE BUT NO DEGREE,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3360
COLLEGE BUT NO DEGREE,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3363
ASSOCIATE DEGREE (E.G. AA AS),2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3366
ASSOCIATE DEGREE (E.G. AA AS),2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3369
ASSOCIATE DEGREE (E.G. AA AS),Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3372
BACHELORS DEGREE (E.G. BA AB BS),2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3375
BACHELORS DEGREE (E.G. BA AB BS),2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3378
BACHELORS DEGREE (E.G. BA AB BS),Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3381
MASTERS DEGREE (E.G. MA MS..),2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3384
MASTERS DEGREE (E.G. MA MS..),2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3387
MASTERS DEGREE (E.G. MA MS..),Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3390
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3393
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3396
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3399
UNKNOWN,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3402
UNKNOWN,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3405
UNKNOWN,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3408
Total,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,3411
Total,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,3414
Total,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,3417
8TH GRADE OR LESS,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),126,0.9,3420
8TH GRADE OR LESS,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,3423
8TH GRADE OR LESS,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),126,0.4,3426
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),278,1.8,3429
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,3432
9TH THRU 12TH GRADE; NO DIPLOMA,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),279,0.9,3435
HIGH SCHOOL GRADUATE OR GED,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1430,9.2,3438
HIGH SCHOOL GRADUATE OR GED,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),4,N/A,3441
HIGH SCHOOL GRADUATE OR GED,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1434,4.6,3444
COLLEGE BUT NO DEGREE,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),290,1.9,3447
COLLEGE BUT NO DEGREE,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,3450
COLLEGE BUT NO DEGREE,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),291,0.9,3453
ASSOCIATE DEGREE (E.G. AA AS),2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),164,1.1,3456
ASSOCIATE DEGREE (E.G. AA AS),2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,3459
ASSOCIATE DEGREE (E.G. AA AS),Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),165,0.5,3462
BACHELORS DEGREE (E.G. BA AB BS),2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),321,2.1,3465
BACHELORS DEGREE (E.G. BA AB BS),2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1,N/A,3468
BACHELORS DEGREE (E.G. BA AB BS),Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),322,1.1,3471
MASTERS DEGREE (E.G. MA MS..),2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),120,0.8,3474
MASTERS DEGREE (E.G. MA MS..),2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,3477
MASTERS DEGREE (E.G. MA MS..),Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),120,0.4,3480
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),40,0.3,3483
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,3486
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),40,0.1,3489
UNKNOWN,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),28,0.2,3492
UNKNOWN,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,3495
UNKNOWN,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),28,0.1,3498
Total,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2797,18.3,3501
Total,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),8,N/A,3504
Total,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2805,9.2,3507
8TH GRADE OR LESS,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),35,0.2,3510
8TH GRADE OR LESS,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3513
8TH GRADE OR LESS,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),35,0.1,3516
9TH THRU 12TH GRADE; NO DIPLOMA,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),58,0.4,3519
9TH THRU 12TH GRADE; NO DIPLOMA,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3522
9TH THRU 12TH GRADE; NO DIPLOMA,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),58,0.2,3525
HIGH SCHOOL GRADUATE OR GED,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),307,2.0,3528
HIGH SCHOOL GRADUATE OR GED,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3531
HIGH SCHOOL GRADUATE OR GED,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),307,1.0,3534
COLLEGE BUT NO DEGREE,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),55,0.4,3537
COLLEGE BUT NO DEGREE,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3540
COLLEGE BUT NO DEGREE,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),55,0.2,3543
ASSOCIATE DEGREE (E.G. AA AS),2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),36,0.2,3546
ASSOCIATE DEGREE (E.G. AA AS),2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3549
ASSOCIATE DEGREE (E.G. AA AS),Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),36,0.1,3552
BACHELORS DEGREE (E.G. BA AB BS),2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),69,0.5,3555
BACHELORS DEGREE (E.G. BA AB BS),2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,3558
BACHELORS DEGREE (E.G. BA AB BS),Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),70,0.2,3561
MASTERS DEGREE (E.G. MA MS..),2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),37,0.3,3564
MASTERS DEGREE (E.G. MA MS..),2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3567
MASTERS DEGREE (E.G. MA MS..),Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),37,0.1,3570
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),13,0.1,3573
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3576
DOCTORATE DEGREE OR PROFESSIONAL DEGREE,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),13,0.0,3579
UNKNOWN,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),8,N/A,3582
UNKNOWN,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,3585
UNKNOWN,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),8,N/A,3588
Total,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),618,4.0,3591
Total,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,3594
