DeathAgeGroupNCIAgeNCI,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
5 to 9,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,1203
10 to 14,Malignant neoplasms of colon rectum and anus (C18-C21),0,N/A,1206
15 to 19,Malignant neoplasms of colon rectum and anus (C18-C21),8,N/A,1209
20 to 24,Malignant neoplasms of colon rectum and anus (C18-C21),18,0.0,1212
25 to 29,Malignant neoplasms of colon rectum and anus (C18-C21),47,0.1,1215
30 to 34,Malignant neoplasms of colon rectum and anus (C18-C21),118,0.1,1218
35 to 39,Malignant neoplasms of colon rectum and anus (C18-C21),243,0.4,1221
40 to 44,Malignant neoplasms of colon rectum and anus (C18-C21),466,0.7,1224
45 to 49,Malignant neoplasms of colon rectum and anus (C18-C21),1020,1.2,1227
50 to 54,Malignant neoplasms of colon rectum and anus (C18-C21),1807,2.0,1230
55 to 59,Malignant neoplasms of colon rectum and anus (C18-C21),2518,1.8,1233
60 to 64,Malignant neoplasms of colon rectum and anus (C18-C21),3134,2.5,1236
65 to 69,Malignant neoplasms of colon rectum and anus (C18-C21),3565,2.7,1239
70 to 74,Malignant neoplasms of colon rectum and anus (C18-C21),3849,3.9,1242
75 to 79,Malignant neoplasms of colon rectum and anus (C18-C21),4078,3.8,1245
80 to 84,Malignant neoplasms of colon rectum and anus (C18-C21),4263,5.3,1248
85 and older,Malignant neoplasms of colon rectum and anus (C18-C21),6651,2.8,1251
Unknown,Malignant neoplasms of colon rectum and anus (C18-C21),15,N/A,1254
Total,Malignant neoplasms of colon rectum and anus (C18-C21),31800,14.9,1257
Less than 1,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1,N/A,1260
1 to 4,Malignant neoplasms of liver and intrahepatic bile ducts (C22),6,N/A,1263
5 to 9,Malignant neoplasms of liver and intrahepatic bile ducts (C22),5,N/A,1266
10 to 14,Malignant neoplasms of liver and intrahepatic bile ducts (C22),5,N/A,1269
15 to 19,Malignant neoplasms of liver and intrahepatic bile ducts (C22),8,N/A,1272
20 to 24,Malignant neoplasms of liver and intrahepatic bile ducts (C22),6,N/A,1275
25 to 29,Malignant neoplasms of liver and intrahepatic bile ducts (C22),12,0.0,1278
30 to 34,Malignant neoplasms of liver and intrahepatic bile ducts (C22),22,0.0,1281
35 to 39,Malignant neoplasms of liver and intrahepatic bile ducts (C22),57,0.1,1284
40 to 44,Malignant neoplasms of liver and intrahepatic bile ducts (C22),96,0.1,1287
45 to 49,Malignant neoplasms of liver and intrahepatic bile ducts (C22),270,0.3,1290
50 to 54,Malignant neoplasms of liver and intrahepatic bile ducts (C22),773,0.8,1293
55 to 59,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1489,1.1,1296
60 to 64,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1868,1.5,1299
65 to 69,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1722,1.3,1302
70 to 74,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1457,1.5,1305
75 to 79,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1425,1.3,1308
80 to 84,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1210,1.5,1311
85 and older,Malignant neoplasms of liver and intrahepatic bile ducts (C22),1267,0.5,1314
Unknown,Malignant neoplasms of liver and intrahepatic bile ducts (C22),12,N/A,1317
Total,Malignant neoplasms of liver and intrahepatic bile ducts (C22),11711,5.4,1320
Less than 1,Malignant neoplasm of pancreas (C25),0,N/A,1323
1 to 4,Malignant neoplasm of pancreas (C25),0,N/A,1326
5 to 9,Malignant neoplasm of pancreas (C25),2,N/A,1329
10 to 14,Malignant neoplasm of pancreas (C25),0,N/A,1332
15 to 19,Malignant neoplasm of pancreas (C25),1,N/A,1335
20 to 24,Malignant neoplasm of pancreas (C25),2,N/A,1338
25 to 29,Malignant neoplasm of pancreas (C25),8,N/A,1341
30 to 34,Malignant neoplasm of pancreas (C25),31,0.0,1344
35 to 39,Malignant neoplasm of pancreas (C25),84,0.1,1347
40 to 44,Malignant neoplasm of pancreas (C25),196,0.3,1350
45 to 49,Malignant neoplasm of pancreas (C25),526,0.6,1353
50 to 54,Malignant neoplasm of pancreas (C25),1107,1.2,1356
55 to 59,Malignant neoplasm of pancreas (C25),1918,1.4,1359
60 to 64,Malignant neoplasm of pancreas (C25),2786,2.3,1362
65 to 69,Malignant neoplasm of pancreas (C25),3334,2.6,1365
70 to 74,Malignant neoplasm of pancreas (C25),3438,3.5,1368
75 to 79,Malignant neoplasm of pancreas (C25),3423,3.2,1371
80 to 84,Malignant neoplasm of pancreas (C25),3137,3.9,1374
85 and older,Malignant neoplasm of pancreas (C25),3566,1.5,1377
Unknown,Malignant neoplasm of pancreas (C25),20,N/A,1380
Total,Malignant neoplasm of pancreas (C25),23579,10.9,1383
Less than 1,Malignant neoplasm of larynx (C32),0,N/A,1386
1 to 4,Malignant neoplasm of larynx (C32),0,N/A,1389
5 to 9,Malignant neoplasm of larynx (C32),0,N/A,1392
10 to 14,Malignant neoplasm of larynx (C32),0,N/A,1395
15 to 19,Malignant neoplasm of larynx (C32),0,N/A,1398
20 to 24,Malignant neoplasm of larynx (C32),0,N/A,1401
25 to 29,Malignant neoplasm of larynx (C32),0,N/A,1404
30 to 34,Malignant neoplasm of larynx (C32),3,N/A,1407
35 to 39,Malignant neoplasm of larynx (C32),1,N/A,1410
40 to 44,Malignant neoplasm of larynx (C32),23,0.0,1413
45 to 49,Malignant neoplasm of larynx (C32),66,0.1,1416
50 to 54,Malignant neoplasm of larynx (C32),244,0.3,1419
55 to 59,Malignant neoplasm of larynx (C32),333,0.2,1422
60 to 64,Malignant neoplasm of larynx (C32),368,0.3,1425
65 to 69,Malignant neoplasm of larynx (C32),431,0.3,1428
70 to 74,Malignant neoplasm of larynx (C32),367,0.4,1431
75 to 79,Malignant neoplasm of larynx (C32),291,0.3,1434
80 to 84,Malignant neoplasm of larynx (C32),205,0.3,1437
85 and older,Malignant neoplasm of larynx (C32),213,0.1,1440
Unknown,Malignant neoplasm of larynx (C32),2,N/A,1443
Total,Malignant neoplasm of larynx (C32),2547,1.2,1446
Less than 1,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,1449
1 to 4,Malignant neoplasms of trachea bronchus and lung (C33-C34),1,N/A,1452
5 to 9,Malignant neoplasms of trachea bronchus and lung (C33-C34),1,N/A,1455
10 to 14,Malignant neoplasms of trachea bronchus and lung (C33-C34),0,N/A,1458
15 to 19,Malignant neoplasms of trachea bronchus and lung (C33-C34),2,N/A,1461
20 to 24,Malignant neoplasms of trachea bronchus and lung (C33-C34),7,N/A,1464
25 to 29,Malignant neoplasms of trachea bronchus and lung (C33-C34),17,0.0,1467
30 to 34,Malignant neoplasms of trachea bronchus and lung (C33-C34),67,0.1,1470
35 to 39,Malignant neoplasms of trachea bronchus and lung (C33-C34),187,0.3,1473
40 to 44,Malignant neoplasms of trachea bronchus and lung (C33-C34),678,1.0,1476
45 to 49,Malignant neoplasms of trachea bronchus and lung (C33-C34),2158,2.5,1479
50 to 54,Malignant neoplasms of trachea bronchus and lung (C33-C34),5028,5.5,1482
55 to 59,Malignant neoplasms of trachea bronchus and lung (C33-C34),8849,6.3,1485
60 to 64,Malignant neoplasms of trachea bronchus and lung (C33-C34),12239,9.9,1488
65 to 69,Malignant neoplasms of trachea bronchus and lung (C33-C34),14837,11.4,1491
70 to 74,Malignant neoplasms of trachea bronchus and lung (C33-C34),16199,16.6,1494
75 to 79,Malignant neoplasms of trachea bronchus and lung (C33-C34),15375,14.3,1497
80 to 84,Malignant neoplasms of trachea bronchus and lung (C33-C34),12655,15.8,1500
85 and older,Malignant neoplasms of trachea bronchus and lung (C33-C34),10864,4.6,1503
Unknown,Malignant neoplasms of trachea bronchus and lung (C33-C34),78,N/A,1506
Total,Malignant neoplasms of trachea bronchus and lung (C33-C34),99242,46.0,1509
Less than 1,Malignant melanoma of skin (C43),0,N/A,1512
1 to 4,Malignant melanoma of skin (C43),1,N/A,1515
5 to 9,Malignant melanoma of skin (C43),0,N/A,1518
10 to 14,Malignant melanoma of skin (C43),1,N/A,1521
15 to 19,Malignant melanoma of skin (C43),4,N/A,1524
20 to 24,Malignant melanoma of skin (C43),12,0.0,1527
25 to 29,Malignant melanoma of skin (C43),40,0.0,1530
30 to 34,Malignant melanoma of skin (C43),68,0.1,1533
35 to 39,Malignant melanoma of skin (C43),94,0.1,1536
40 to 44,Malignant melanoma of skin (C43),168,0.3,1539
45 to 49,Malignant melanoma of skin (C43),247,0.3,1542
50 to 54,Malignant melanoma of skin (C43),381,0.4,1545
55 to 59,Malignant melanoma of skin (C43),481,0.3,1548
60 to 64,Malignant melanoma of skin (C43),556,0.4,1551
65 to 69,Malignant melanoma of skin (C43),615,0.5,1554
70 to 74,Malignant melanoma of skin (C43),594,0.6,1557
75 to 79,Malignant melanoma of skin (C43),627,0.6,1560
80 to 84,Malignant melanoma of skin (C43),624,0.8,1563
85 and older,Malignant melanoma of skin (C43),771,0.3,1566
Unknown,Malignant melanoma of skin (C43),3,N/A,1569
Total,Malignant melanoma of skin (C43),5287,2.5,1572
Less than 1,Malignant neoplasm of breast (C50),0,N/A,1575
1 to 4,Malignant neoplasm of breast (C50),0,N/A,1578
5 to 9,Malignant neoplasm of breast (C50),0,N/A,1581
10 to 14,Malignant neoplasm of breast (C50),0,N/A,1584
15 to 19,Malignant neoplasm of breast (C50),0,N/A,1587
20 to 24,Malignant neoplasm of breast (C50),4,N/A,1590
25 to 29,Malignant neoplasm of breast (C50),43,0.1,1593
30 to 34,Malignant neoplasm of breast (C50),143,0.2,1596
35 to 39,Malignant neoplasm of breast (C50),326,0.5,1599
40 to 44,Malignant neoplasm of breast (C50),711,1.1,1602
45 to 49,Malignant neoplasm of breast (C50),1165,1.3,1605
50 to 54,Malignant neoplasm of breast (C50),1842,2.0,1608
55 to 59,Malignant neoplasm of breast (C50),2333,1.7,1611
60 to 64,Malignant neoplasm of breast (C50),2822,2.3,1614
65 to 69,Malignant neoplasm of breast (C50),2902,2.2,1617
70 to 74,Malignant neoplasm of breast (C50),2728,2.8,1620
75 to 79,Malignant neoplasm of breast (C50),2633,2.5,1623
80 to 84,Malignant neoplasm of breast (C50),2738,3.4,1626
85 and older,Malignant neoplasm of breast (C50),4417,1.9,1629
Unknown,Malignant neoplasm of breast (C50),16,N/A,1632
Total,Malignant neoplasm of breast (C50),24823,11.8,1635
Less than 1,Malignant neoplasm of cervix uteri (C53),0,N/A,1638
1 to 4,Malignant neoplasm of cervix uteri (C53),0,N/A,1641
5 to 9,Malignant neoplasm of cervix uteri (C53),0,N/A,1644
10 to 14,Malignant neoplasm of cervix uteri (C53),0,N/A,1647
15 to 19,Malignant neoplasm of cervix uteri (C53),1,N/A,1650
20 to 24,Malignant neoplasm of cervix uteri (C53),3,N/A,1653
25 to 29,Malignant neoplasm of cervix uteri (C53),39,0.0,1656
30 to 34,Malignant neoplasm of cervix uteri (C53),74,0.1,1659
35 to 39,Malignant neoplasm of cervix uteri (C53),140,0.2,1662
40 to 44,Malignant neoplasm of cervix uteri (C53),174,0.3,1665
45 to 49,Malignant neoplasm of cervix uteri (C53),250,0.3,1668
50 to 54,Malignant neoplasm of cervix uteri (C53),310,0.3,1671
55 to 59,Malignant neoplasm of cervix uteri (C53),257,0.2,1674
60 to 64,Malignant neoplasm of cervix uteri (C53),285,0.2,1677
65 to 69,Malignant neoplasm of cervix uteri (C53),236,0.2,1680
70 to 74,Malignant neoplasm of cervix uteri (C53),151,0.2,1683
75 to 79,Malignant neoplasm of cervix uteri (C53),145,0.1,1686
80 to 84,Malignant neoplasm of cervix uteri (C53),114,0.1,1689
85 and older,Malignant neoplasm of cervix uteri (C53),118,0.1,1692
Unknown,Malignant neoplasm of cervix uteri (C53),2,N/A,1695
Total,Malignant neoplasm of cervix uteri (C53),2299,1.2,1698
Less than 1,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,1701
1 to 4,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,1704
5 to 9,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,1707
10 to 14,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,1710
15 to 19,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),0,N/A,1713
20 to 24,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),2,N/A,1716
25 to 29,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),3,N/A,1719
30 to 34,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),10,0.0,1722
35 to 39,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),27,0.0,1725
40 to 44,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),54,0.1,1728
45 to 49,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),119,0.1,1731
50 to 54,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),254,0.3,1734
55 to 59,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),479,0.3,1737
60 to 64,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),784,0.6,1740
65 to 69,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),896,0.7,1743
70 to 74,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),846,0.9,1746
75 to 79,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),734,0.7,1749
80 to 84,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),652,0.8,1752
85 and older,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),839,0.4,1755
Unknown,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),1,N/A,1758
Total,Malignant neoplasms of corpus uteri and uterus part unspecified (C54-C55),5700,2.6,1761
Less than 1,Malignant neoplasm of ovary (C56),0,N/A,1764
1 to 4,Malignant neoplasm of ovary (C56),1,N/A,1767
5 to 9,Malignant neoplasm of ovary (C56),0,N/A,1770
10 to 14,Malignant neoplasm of ovary (C56),1,N/A,1773
15 to 19,Malignant neoplasm of ovary (C56),4,N/A,1776
20 to 24,Malignant neoplasm of ovary (C56),7,N/A,1779
25 to 29,Malignant neoplasm of ovary (C56),16,0.0,1782
30 to 34,Malignant neoplasm of ovary (C56),31,0.0,1785
35 to 39,Malignant neoplasm of ovary (C56),50,0.1,1788
40 to 44,Malignant neoplasm of ovary (C56),120,0.2,1791
45 to 49,Malignant neoplasm of ovary (C56),256,0.3,1794
50 to 54,Malignant neoplasm of ovary (C56),487,0.5,1797
55 to 59,Malignant neoplasm of ovary (C56),694,0.5,1800
60 to 64,Malignant neoplasm of ovary (C56),990,0.8,1803
65 to 69,Malignant neoplasm of ovary (C56),1113,0.9,1806
70 to 74,Malignant neoplasm of ovary (C56),1011,1.0,1809
75 to 79,Malignant neoplasm of ovary (C56),1012,0.9,1812
80 to 84,Malignant neoplasm of ovary (C56),1006,1.3,1815
85 and older,Malignant neoplasm of ovary (C56),1086,0.5,1818
Unknown,Malignant neoplasm of ovary (C56),8,N/A,1821
Total,Malignant neoplasm of ovary (C56),7893,3.7,1824
Less than 1,Malignant neoplasm of prostate (C61),0,N/A,1827
1 to 4,Malignant neoplasm of prostate (C61),0,N/A,1830
5 to 9,Malignant neoplasm of prostate (C61),0,N/A,1833
10 to 14,Malignant neoplasm of prostate (C61),0,N/A,1836
15 to 19,Malignant neoplasm of prostate (C61),0,N/A,1839
20 to 24,Malignant neoplasm of prostate (C61),0,N/A,1842
25 to 29,Malignant neoplasm of prostate (C61),1,N/A,1845
30 to 34,Malignant neoplasm of prostate (C61),0,N/A,1848
35 to 39,Malignant neoplasm of prostate (C61),2,N/A,1851
40 to 44,Malignant neoplasm of prostate (C61),10,0.0,1854
45 to 49,Malignant neoplasm of prostate (C61),57,0.1,1857
50 to 54,Malignant neoplasm of prostate (C61),188,0.2,1860
55 to 59,Malignant neoplasm of prostate (C61),496,0.4,1863
60 to 64,Malignant neoplasm of prostate (C61),969,0.8,1866
65 to 69,Malignant neoplasm of prostate (C61),1598,1.2,1869
70 to 74,Malignant neoplasm of prostate (C61),2065,2.1,1872
75 to 79,Malignant neoplasm of prostate (C61),2607,2.4,1875
80 to 84,Malignant neoplasm of prostate (C61),3075,3.8,1878
85 and older,Malignant neoplasm of prostate (C61),5188,2.2,1881
Unknown,Malignant neoplasm of prostate (C61),5,N/A,1884
Total,Malignant neoplasm of prostate (C61),16261,7.5,1887
Less than 1,Malignant neoplasms of kidney and renal pelvis (C64-C65),0,N/A,1890
1 to 4,Malignant neoplasms of kidney and renal pelvis (C64-C65),3,N/A,1893
5 to 9,Malignant neoplasms of kidney and renal pelvis (C64-C65),9,N/A,1896
10 to 14,Malignant neoplasms of kidney and renal pelvis (C64-C65),7,N/A,1899
15 to 19,Malignant neoplasms of kidney and renal pelvis (C64-C65),6,N/A,1902
20 to 24,Malignant neoplasms of kidney and renal pelvis (C64-C65),8,N/A,1905
25 to 29,Malignant neoplasms of kidney and renal pelvis (C64-C65),9,N/A,1908
30 to 34,Malignant neoplasms of kidney and renal pelvis (C64-C65),22,0.0,1911
35 to 39,Malignant neoplasms of kidney and renal pelvis (C64-C65),34,0.1,1914
40 to 44,Malignant neoplasms of kidney and renal pelvis (C64-C65),82,0.1,1917
45 to 49,Malignant neoplasms of kidney and renal pelvis (C64-C65),254,0.3,1920
50 to 54,Malignant neoplasms of kidney and renal pelvis (C64-C65),437,0.5,1923
55 to 59,Malignant neoplasms of kidney and renal pelvis (C64-C65),679,0.5,1926
60 to 64,Malignant neoplasms of kidney and renal pelvis (C64-C65),976,0.8,1929
65 to 69,Malignant neoplasms of kidney and renal pelvis (C64-C65),1096,0.8,1932
70 to 74,Malignant neoplasms of kidney and renal pelvis (C64-C65),1099,1.1,1935
75 to 79,Malignant neoplasms of kidney and renal pelvis (C64-C65),1066,1.0,1938
80 to 84,Malignant neoplasms of kidney and renal pelvis (C64-C65),1041,1.3,1941
85 and older,Malignant neoplasms of kidney and renal pelvis (C64-C65),1261,0.5,1944
Unknown,Malignant neoplasms of kidney and renal pelvis (C64-C65),4,N/A,1947
Total,Malignant neoplasms of kidney and renal pelvis (C64-C65),8093,3.8,1950
Less than 1,Malignant neoplasm of bladder (C67),0,N/A,1953
1 to 4,Malignant neoplasm of bladder (C67),0,N/A,1956
5 to 9,Malignant neoplasm of bladder (C67),0,N/A,1959
10 to 14,Malignant neoplasm of bladder (C67),0,N/A,1962
15 to 19,Malignant neoplasm of bladder (C67),0,N/A,1965
20 to 24,Malignant neoplasm of bladder (C67),1,N/A,1968
25 to 29,Malignant neoplasm of bladder (C67),3,N/A,1971
30 to 34,Malignant neoplasm of bladder (C67),1,N/A,1974
35 to 39,Malignant neoplasm of bladder (C67),15,0.0,1977
40 to 44,Malignant neoplasm of bladder (C67),36,0.1,1980
45 to 49,Malignant neoplasm of bladder (C67),98,0.1,1983
50 to 54,Malignant neoplasm of bladder (C67),250,0.3,1986
55 to 59,Malignant neoplasm of bladder (C67),434,0.3,1989
60 to 64,Malignant neoplasm of bladder (C67),706,0.6,1992
65 to 69,Malignant neoplasm of bladder (C67),952,0.7,1995
70 to 74,Malignant neoplasm of bladder (C67),1239,1.3,1998
75 to 79,Malignant neoplasm of bladder (C67),1487,1.4,2001
80 to 84,Malignant neoplasm of bladder (C67),1851,2.3,2004
85 and older,Malignant neoplasm of bladder (C67),2913,1.2,2007
Unknown,Malignant neoplasm of bladder (C67),6,N/A,2010
Total,Malignant neoplasm of bladder (C67),9992,4.6,2013
Less than 1,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),9,N/A,2016
1 to 4,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),48,0.0,2019
5 to 9,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),75,0.1,2022
10 to 14,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),79,0.1,2025
15 to 19,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),53,0.1,2028
20 to 24,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),61,0.1,2031
25 to 29,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),89,0.1,2034
30 to 34,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),125,0.2,2037
35 to 39,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),177,0.3,2040
40 to 44,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),279,0.4,2043
45 to 49,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),442,0.5,2046
50 to 54,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),697,0.8,2049
55 to 59,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),985,0.7,2052
60 to 64,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1159,0.9,2055
65 to 69,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1118,0.9,2058
70 to 74,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1052,1.1,2061
75 to 79,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),925,0.9,2064
80 to 84,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),718,0.9,2067
85 and older,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),614,0.3,2070
Unknown,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),3,N/A,2073
Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),8708,4.2,2076
Less than 1,Hodgkin's disease (C81),0,N/A,2079
1 to 4,Hodgkin's disease (C81),0,N/A,2082
5 to 9,Hodgkin's disease (C81),0,N/A,2085
10 to 14,Hodgkin's disease (C81),0,N/A,2088
15 to 19,Hodgkin's disease (C81),0,N/A,2091
20 to 24,Hodgkin's disease (C81),18,0.0,2094
25 to 29,Hodgkin's disease (C81),17,0.0,2097
30 to 34,Hodgkin's disease (C81),29,0.0,2100
35 to 39,Hodgkin's disease (C81),26,0.0,2103
40 to 44,Hodgkin's disease (C81),30,0.0,2106
45 to 49,Hodgkin's disease (C81),29,0.0,2109
50 to 54,Hodgkin's disease (C81),34,0.0,2112
55 to 59,Hodgkin's disease (C81),51,0.0,2115
60 to 64,Hodgkin's disease (C81),56,0.0,2118
65 to 69,Hodgkin's disease (C81),71,0.1,2121
70 to 74,Hodgkin's disease (C81),51,0.1,2124
75 to 79,Hodgkin's disease (C81),64,0.1,2127
80 to 84,Hodgkin's disease (C81),74,0.1,2130
85 and older,Hodgkin's disease (C81),73,0.0,2133
Unknown,Hodgkin's disease (C81),1,N/A,2136
Total,Hodgkin's disease (C81),624,0.3,2139
Less than 1,Non-Hodgkin's lymphoma (C82-C85),1,N/A,2142
1 to 4,Non-Hodgkin's lymphoma (C82-C85),4,N/A,2145
5 to 9,Non-Hodgkin's lymphoma (C82-C85),12,0.0,2148
10 to 14,Non-Hodgkin's lymphoma (C82-C85),7,N/A,2151
15 to 19,Non-Hodgkin's lymphoma (C82-C85),10,0.0,2154
20 to 24,Non-Hodgkin's lymphoma (C82-C85),32,0.0,2157
25 to 29,Non-Hodgkin's lymphoma (C82-C85),29,0.0,2160
30 to 34,Non-Hodgkin's lymphoma (C82-C85),50,0.1,2163
35 to 39,Non-Hodgkin's lymphoma (C82-C85),75,0.1,2166
40 to 44,Non-Hodgkin's lymphoma (C82-C85),111,0.2,2169
45 to 49,Non-Hodgkin's lymphoma (C82-C85),213,0.2,2172
50 to 54,Non-Hodgkin's lymphoma (C82-C85),419,0.5,2175
55 to 59,Non-Hodgkin's lymphoma (C82-C85),675,0.5,2178
60 to 64,Non-Hodgkin's lymphoma (C82-C85),990,0.8,2181
65 to 69,Non-Hodgkin's lymphoma (C82-C85),1352,1.0,2184
70 to 74,Non-Hodgkin's lymphoma (C82-C85),1647,1.7,2187
75 to 79,Non-Hodgkin's lymphoma (C82-C85),1889,1.8,2190
80 to 84,Non-Hodgkin's lymphoma (C82-C85),2123,2.7,2193
85 and older,Non-Hodgkin's lymphoma (C82-C85),2708,1.1,2196
Unknown,Non-Hodgkin's lymphoma (C82-C85),13,N/A,2199
Total,Non-Hodgkin's lymphoma (C82-C85),12360,5.8,2202
Less than 1,Leukemia (C91-C95),10,0.0,2205
1 to 4,Leukemia (C91-C95),43,0.0,2208
5 to 9,Leukemia (C91-C95),35,0.0,2211
10 to 14,Leukemia (C91-C95),42,0.1,2214
15 to 19,Leukemia (C91-C95),64,0.1,2217
20 to 24,Leukemia (C91-C95),89,0.1,2220
25 to 29,Leukemia (C91-C95),94,0.1,2223
30 to 34,Leukemia (C91-C95),126,0.2,2226
35 to 39,Leukemia (C91-C95),123,0.2,2229
40 to 44,Leukemia (C91-C95),161,0.2,2232
45 to 49,Leukemia (C91-C95),271,0.3,2235
50 to 54,Leukemia (C91-C95),429,0.5,2238
55 to 59,Leukemia (C91-C95),664,0.5,2241
60 to 64,Leukemia (C91-C95),1000,0.8,2244
65 to 69,Leukemia (C91-C95),1372,1.1,2247
70 to 74,Leukemia (C91-C95),1741,1.8,2250
75 to 79,Leukemia (C91-C95),1984,1.8,2253
80 to 84,Leukemia (C91-C95),2166,2.7,2256
85 and older,Leukemia (C91-C95),2981,1.3,2259
Unknown,Leukemia (C91-C95),21,N/A,2262
Total,Leukemia (C91-C95),13416,6.4,2265
Less than 1,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2268
1 to 4,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2271
5 to 9,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2274
10 to 14,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2277
15 to 19,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2280
20 to 24,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2283
25 to 29,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,2286
30 to 34,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,2289
35 to 39,Multiple myeloma and immunoproliferative neoplasms (C88C90),8,N/A,2292
40 to 44,Multiple myeloma and immunoproliferative neoplasms (C88C90),44,0.1,2295
45 to 49,Multiple myeloma and immunoproliferative neoplasms (C88C90),102,0.1,2298
50 to 54,Multiple myeloma and immunoproliferative neoplasms (C88C90),296,0.3,2301
55 to 59,Multiple myeloma and immunoproliferative neoplasms (C88C90),433,0.3,2304
60 to 64,Multiple myeloma and immunoproliferative neoplasms (C88C90),663,0.5,2307
65 to 69,Multiple myeloma and immunoproliferative neoplasms (C88C90),887,0.7,2310
70 to 74,Multiple myeloma and immunoproliferative neoplasms (C88C90),1043,1.1,2313
75 to 79,Multiple myeloma and immunoproliferative neoplasms (C88C90),1155,1.1,2316
80 to 84,Multiple myeloma and immunoproliferative neoplasms (C88C90),1212,1.5,2319
85 and older,Multiple myeloma and immunoproliferative neoplasms (C88C90),1389,0.6,2322
Unknown,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,2325
Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),7238,3.4,2328
Less than 1,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2331
1 to 4,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2334
5 to 9,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2337
10 to 14,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2340
15 to 19,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2343
20 to 24,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,2346
