DeathSexSexDesc,DeathYearYear,DeathCOD113ICDCode113Desc,Deaths,DeathAgeAdjustedRate11,SORT
Male,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1128
Male,Total,Malignant neoplasm of bladder (C67),515,4.0,1131
Unknown,2020 **,Malignant neoplasm of bladder (C67),0,N/A,1134
Unknown,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1137
Unknown,Total,Malignant neoplasm of bladder (C67),0,N/A,1140
Total,2020 **,Malignant neoplasm of bladder (C67),702,4.5,1143
Total,2021 **,Malignant neoplasm of bladder (C67),0,N/A,1146
Total,Total,Malignant neoplasm of bladder (C67),702,2.3,1149
Female,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),255,3.3,1152
Female,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),1,N/A,1155
Female,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),256,1.7,1158
Male,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),366,5.4,1161
Male,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),3,N/A,1164
Male,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),369,2.7,1167
Unknown,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,1170
Unknown,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,1173
Unknown,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),0,N/A,1176
Total,2020 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),621,4.3,1179
Total,2021 **,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),4,N/A,1182
Total,Total,Malignant neoplasms of meninges brain and other parts of central nervous system (C70-C72),625,2.2,1185
Female,2020 **,Hodgkin's disease (C81),13,0.1,1188
Female,2021 **,Hodgkin's disease (C81),0,N/A,1191
Female,Total,Hodgkin's disease (C81),13,0.1,1194
Male,2020 **,Hodgkin's disease (C81),25,0.4,1197
Male,2021 **,Hodgkin's disease (C81),0,N/A,1200
Male,Total,Hodgkin's disease (C81),25,0.2,1203
Unknown,2020 **,Hodgkin's disease (C81),0,N/A,1206
Unknown,2021 **,Hodgkin's disease (C81),0,N/A,1209
Unknown,Total,Hodgkin's disease (C81),0,N/A,1212
Total,2020 **,Hodgkin's disease (C81),38,0.3,1215
Total,2021 **,Hodgkin's disease (C81),0,N/A,1218
Total,Total,Hodgkin's disease (C81),38,0.1,1221
Female,2020 **,Non-Hodgkin's lymphoma (C82-C85),314,3.6,1224
Female,2021 **,Non-Hodgkin's lymphoma (C82-C85),2,N/A,1227
Female,Total,Non-Hodgkin's lymphoma (C82-C85),316,1.8,1230
Male,2020 **,Non-Hodgkin's lymphoma (C82-C85),455,6.9,1233
Male,2021 **,Non-Hodgkin's lymphoma (C82-C85),2,N/A,1236
Male,Total,Non-Hodgkin's lymphoma (C82-C85),457,3.5,1239
Unknown,2020 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,1242
Unknown,2021 **,Non-Hodgkin's lymphoma (C82-C85),0,N/A,1245
Unknown,Total,Non-Hodgkin's lymphoma (C82-C85),0,N/A,1248
Total,2020 **,Non-Hodgkin's lymphoma (C82-C85),769,5.0,1251
Total,2021 **,Non-Hodgkin's lymphoma (C82-C85),4,N/A,1254
Total,Total,Non-Hodgkin's lymphoma (C82-C85),773,2.5,1257
Female,2020 **,Leukemia (C91-C95),415,4.9,1260
Female,2021 **,Leukemia (C91-C95),3,N/A,1263
Female,Total,Leukemia (C91-C95),418,2.5,1266
Male,2020 **,Leukemia (C91-C95),484,7.4,1269
Male,2021 **,Leukemia (C91-C95),0,N/A,1272
Male,Total,Leukemia (C91-C95),484,3.7,1275
Unknown,2020 **,Leukemia (C91-C95),0,N/A,1278
Unknown,2021 **,Leukemia (C91-C95),0,N/A,1281
Unknown,Total,Leukemia (C91-C95),0,N/A,1284
Total,2020 **,Leukemia (C91-C95),899,6.0,1287
Total,2021 **,Leukemia (C91-C95),3,N/A,1290
Total,Total,Leukemia (C91-C95),902,3.0,1293
Female,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),230,2.6,1296
Female,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),2,N/A,1299
Female,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),232,1.3,1302
Male,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),274,4.0,1305
Male,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),1,N/A,1308
Male,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),275,2.0,1311
Unknown,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,1314
Unknown,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,1317
Unknown,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),0,N/A,1320
Total,2020 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),504,3.2,1323
Total,2021 **,Multiple myeloma and immunoproliferative neoplasms (C88C90),3,N/A,1326
Total,Total,Multiple myeloma and immunoproliferative neoplasms (C88C90),507,1.6,1329
Female,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1332
Female,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1335
Female,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1338
Male,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1341
Male,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1344
Male,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1347
Unknown,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1350
Unknown,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1353
Unknown,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1356
Total,2020 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1359
Total,2021 **,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),0,N/A,1362
Total,Total,Other and unspecified malignant neoplasms of lymphoid hematopoietic and related tissue (C96),1,N/A,1365
Female,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1330,15.5,1368
Female,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),3,N/A,1371
Female,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1333,7.8,1374
Male,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1467,22.1,1377
Male,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),5,N/A,1380
Male,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),1472,11.1,1383
Unknown,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,1386
Unknown,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,1389
Unknown,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),0,N/A,1392
Total,2020 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2797,18.3,1395
Total,2021 **,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),8,N/A,1398
Total,Total,All other and unspecified malignant neoplasms (C17C23-C24C26-C31C37-C41C44-C49C51-C52C57-C60C62-C63C66C68-C69C73-C80C97),2805,9.2,1401
Female,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),308,3.4,1404
Female,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,1407
Female,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),308,1.7,1410
Male,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),310,4.9,1413
Male,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,1416
Male,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),311,2.4,1419
Unknown,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,1422
Unknown,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,1425
Unknown,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),0,N/A,1428
Total,2020 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),618,4.0,1431
Total,2021 **,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),1,N/A,1434
Total,Total,In situ neoplasms benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48),619,2.0,1437
Female,2020 **,Anemias (D50-D64),107,1.2,1440
Female,2021 **,Anemias (D50-D64),1,N/A,1443
Female,Total,Anemias (D50-D64),108,0.6,1446
Male,2020 **,Anemias (D50-D64),88,1.4,1449
Male,2021 **,Anemias (D50-D64),0,N/A,1452
Male,Total,Anemias (D50-D64),88,0.7,1455
Unknown,2020 **,Anemias (D50-D64),0,N/A,1458
Unknown,2021 **,Anemias (D50-D64),0,N/A,1461
Unknown,Total,Anemias (D50-D64),0,N/A,1464
Total,2020 **,Anemias (D50-D64),195,1.3,1467
Total,2021 **,Anemias (D50-D64),1,N/A,1470
Total,Total,Anemias (D50-D64),196,0.7,1473
Female,2020 **,Diabetes mellitus (E10-E14),1740,20.1,1476
Female,2021 **,Diabetes mellitus (E10-E14),0,N/A,1479
Female,Total,Diabetes mellitus (E10-E14),1740,10.0,1482
Male,2020 **,Diabetes mellitus (E10-E14),2161,32.1,1485
Male,2021 **,Diabetes mellitus (E10-E14),3,N/A,1488
Male,Total,Diabetes mellitus (E10-E14),2164,16.1,1491
Unknown,2020 **,Diabetes mellitus (E10-E14),0,N/A,1494
Unknown,2021 **,Diabetes mellitus (E10-E14),0,N/A,1497
Unknown,Total,Diabetes mellitus (E10-E14),0,N/A,1500
Total,2020 **,Diabetes mellitus (E10-E14),3901,25.4,1503
Total,2021 **,Diabetes mellitus (E10-E14),3,N/A,1506
Total,Total,Diabetes mellitus (E10-E14),3904,12.7,1509
Female,2020 **,Malnutrition (E40-E46),365,3.7,1512
Female,2021 **,Malnutrition (E40-E46),0,N/A,1515
Female,Total,Malnutrition (E40-E46),365,1.9,1518
Male,2020 **,Malnutrition (E40-E46),196,3.2,1521
Male,2021 **,Malnutrition (E40-E46),1,N/A,1524
Male,Total,Malnutrition (E40-E46),197,1.6,1527
Unknown,2020 **,Malnutrition (E40-E46),0,N/A,1530
Unknown,2021 **,Malnutrition (E40-E46),0,N/A,1533
Unknown,Total,Malnutrition (E40-E46),0,N/A,1536
Total,2020 **,Malnutrition (E40-E46),561,3.5,1539
Total,2021 **,Malnutrition (E40-E46),1,N/A,1542
Total,Total,Malnutrition (E40-E46),562,1.8,1545
Female,2020 **,Other nutritional deficiencies (E50-E64),5,N/A,1548
Female,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,1551
Female,Total,Other nutritional deficiencies (E50-E64),5,N/A,1554
Male,2020 **,Other nutritional deficiencies (E50-E64),3,N/A,1557
Male,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,1560
Male,Total,Other nutritional deficiencies (E50-E64),3,N/A,1563
Unknown,2020 **,Other nutritional deficiencies (E50-E64),0,N/A,1566
Unknown,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,1569
Unknown,Total,Other nutritional deficiencies (E50-E64),0,N/A,1572
Total,2020 **,Other nutritional deficiencies (E50-E64),8,N/A,1575
Total,2021 **,Other nutritional deficiencies (E50-E64),0,N/A,1578
Total,Total,Other nutritional deficiencies (E50-E64),8,N/A,1581
Female,2020 **,Meningitis (G00G03),6,N/A,1584
Female,2021 **,Meningitis (G00G03),0,N/A,1587
Female,Total,Meningitis (G00G03),6,N/A,1590
Male,2020 **,Meningitis (G00G03),7,N/A,1593
Male,2021 **,Meningitis (G00G03),0,N/A,1596
Male,Total,Meningitis (G00G03),7,N/A,1599
Unknown,2020 **,Meningitis (G00G03),0,N/A,1602
Unknown,2021 **,Meningitis (G00G03),0,N/A,1605
Unknown,Total,Meningitis (G00G03),0,N/A,1608
Total,2020 **,Meningitis (G00G03),13,0.1,1611
Total,2021 **,Meningitis (G00G03),0,N/A,1614
Total,Total,Meningitis (G00G03),13,0.0,1617
Female,2020 **,Parkinson's disease (G20-G21),630,7.0,1620
Female,2021 **,Parkinson's disease (G20-G21),1,N/A,1623
Female,Total,Parkinson's disease (G20-G21),631,3.5,1626
Male,2020 **,Parkinson's disease (G20-G21),896,14.7,1629
Male,2021 **,Parkinson's disease (G20-G21),5,N/A,1632
Male,Total,Parkinson's disease (G20-G21),901,7.4,1635
Unknown,2020 **,Parkinson's disease (G20-G21),0,N/A,1638
Unknown,2021 **,Parkinson's disease (G20-G21),0,N/A,1641
Unknown,Total,Parkinson's disease (G20-G21),0,N/A,1644
Total,2020 **,Parkinson's disease (G20-G21),1526,10.0,1647
Total,2021 **,Parkinson's disease (G20-G21),6,N/A,1650
Total,Total,Parkinson's disease (G20-G21),1532,5.0,1653
Female,2020 **,Alzheimer's disease (G30),3797,39.1,1656
Female,2021 **,Alzheimer's disease (G30),8,N/A,1659
Female,Total,Alzheimer's disease (G30),3805,19.6,1662
Male,2020 **,Alzheimer's disease (G30),1625,27.6,1665
Male,2021 **,Alzheimer's disease (G30),2,N/A,1668
Male,Total,Alzheimer's disease (G30),1627,13.8,1671
Unknown,2020 **,Alzheimer's disease (G30),0,N/A,1674
Unknown,2021 **,Alzheimer's disease (G30),0,N/A,1677
Unknown,Total,Alzheimer's disease (G30),0,N/A,1680
Total,2020 **,Alzheimer's disease (G30),5422,34.7,1683
Total,2021 **,Alzheimer's disease (G30),10,0.1,1686
Total,Total,Alzheimer's disease (G30),5432,17.4,1689
Female,2020 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),117,1.3,1692
Female,2021 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1695
Female,Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),117,0.7,1698
Male,2020 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),50,0.8,1701
Male,2021 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1704
Male,Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),50,0.4,1707
Unknown,2020 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1710
Unknown,2021 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1713
Unknown,Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1716
Total,2020 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),167,1.1,1719
Total,2021 **,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),0,N/A,1722
Total,Total,Acute rheumatic fever and chronic rheumatic heart diseases (I00-I09),167,0.5,1725
Female,2020 **,Hypertensive heart disease (I11),1037,11.4,1728
Female,2021 **,Hypertensive heart disease (I11),3,N/A,1731
Female,Total,Hypertensive heart disease (I11),1040,5.7,1734
Male,2020 **,Hypertensive heart disease (I11),977,14.9,1737
Male,2021 **,Hypertensive heart disease (I11),1,N/A,1740
Male,Total,Hypertensive heart disease (I11),978,7.5,1743
Unknown,2020 **,Hypertensive heart disease (I11),0,N/A,1746
Unknown,2021 **,Hypertensive heart disease (I11),0,N/A,1749
Unknown,Total,Hypertensive heart disease (I11),0,N/A,1752
Total,2020 **,Hypertensive heart disease (I11),2014,13.3,1755
Total,2021 **,Hypertensive heart disease (I11),4,N/A,1758
Total,Total,Hypertensive heart disease (I11),2018,6.6,1761
Female,2020 **,Hypertensive heart and renal disease (I13),221,2.3,1764
Female,2021 **,Hypertensive heart and renal disease (I13),0,N/A,1767
Female,Total,Hypertensive heart and renal disease (I13),221,1.2,1770
Male,2020 **,Hypertensive heart and renal disease (I13),187,3.0,1773
Male,2021 **,Hypertensive heart and renal disease (I13),2,N/A,1776
Male,Total,Hypertensive heart and renal disease (I13),189,1.5,1779
Unknown,2020 **,Hypertensive heart and renal disease (I13),0,N/A,1782
Unknown,2021 **,Hypertensive heart and renal disease (I13),0,N/A,1785
Unknown,Total,Hypertensive heart and renal disease (I13),0,N/A,1788
Total,2020 **,Hypertensive heart and renal disease (I13),408,2.6,1791
Total,2021 **,Hypertensive heart and renal disease (I13),2,N/A,1794
Total,Total,Hypertensive heart and renal disease (I13),410,1.3,1797
Female,2020 **,Acute myocardial infarction (I21-I22),1644,18.4,1800
Female,2021 **,Acute myocardial infarction (I21-I22),2,N/A,1803
Female,Total,Acute myocardial infarction (I21-I22),1646,9.2,1806
Male,2020 **,Acute myocardial infarction (I21-I22),2403,35.7,1809
Male,2021 **,Acute myocardial infarction (I21-I22),4,N/A,1812
Male,Total,Acute myocardial infarction (I21-I22),2407,17.9,1815
Unknown,2020 **,Acute myocardial infarction (I21-I22),0,N/A,1818
Unknown,2021 **,Acute myocardial infarction (I21-I22),0,N/A,1821
Unknown,Total,Acute myocardial infarction (I21-I22),0,N/A,1824
Total,2020 **,Acute myocardial infarction (I21-I22),4047,26.2,1827
Total,2021 **,Acute myocardial infarction (I21-I22),6,N/A,1830
Total,Total,Acute myocardial infarction (I21-I22),4053,13.1,1833
Female,2020 **,Other acute ischemic heart diseases (I24),86,1.0,1836
Female,2021 **,Other acute ischemic heart diseases (I24),0,N/A,1839
Female,Total,Other acute ischemic heart diseases (I24),86,0.5,1842
Male,2020 **,Other acute ischemic heart diseases (I24),109,1.6,1845
Male,2021 **,Other acute ischemic heart diseases (I24),1,N/A,1848
Male,Total,Other acute ischemic heart diseases (I24),110,0.8,1851
Unknown,2020 **,Other acute ischemic heart diseases (I24),0,N/A,1854
Unknown,2021 **,Other acute ischemic heart diseases (I24),0,N/A,1857
Unknown,Total,Other acute ischemic heart diseases (I24),0,N/A,1860
Total,2020 **,Other acute ischemic heart diseases (I24),195,1.3,1863
Total,2021 **,Other acute ischemic heart diseases (I24),1,N/A,1866
Total,Total,Other acute ischemic heart diseases (I24),196,0.6,1869
Female,2020 **,Atherosclerotic cardiovascular disease so described (I25.0),879,9.9,1872
Female,2021 **,Atherosclerotic cardiovascular disease so described (I25.0),3,N/A,1875
Female,Total,Atherosclerotic cardiovascular disease so described (I25.0),882,5.0,1878
Male,2020 **,Atherosclerotic cardiovascular disease so described (I25.0),1640,23.9,1881
Male,2021 **,Atherosclerotic cardiovascular disease so described (I25.0),3,N/A,1884
Male,Total,Atherosclerotic cardiovascular disease so described (I25.0),1643,12.0,1887
Unknown,2020 **,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1890
Unknown,2021 **,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1893
Unknown,Total,Atherosclerotic cardiovascular disease so described (I25.0),0,N/A,1896
Total,2020 **,Atherosclerotic cardiovascular disease so described (I25.0),2519,16.3,1899
Total,2021 **,Atherosclerotic cardiovascular disease so described (I25.0),6,N/A,1902
Total,Total,Atherosclerotic cardiovascular disease so described (I25.0),2525,8.2,1905
Female,2020 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),3307,35.4,1908
Female,2021 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),6,N/A,1911
Female,Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),3313,17.7,1914
Male,2020 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4458,69.3,1917
Male,2021 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4,N/A,1920
Male,Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),4462,34.7,1923
Unknown,2020 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,1926
Unknown,2021 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,1929
Unknown,Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),0,N/A,1932
Total,2020 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),7765,49.7,1935
Total,2021 **,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),10,0.1,1938
Total,Total,All other forms of chronic ischemic heart disease (I20I25.1-I25.9),7775,24.9,1941
Female,2020 **,Acute and subacute endocarditis (I33),31,0.5,1944
Female,2021 **,Acute and subacute endocarditis (I33),0,N/A,1947
Female,Total,Acute and subacute endocarditis (I33),31,0.2,1950
Male,2020 **,Acute and subacute endocarditis (I33),51,0.8,1953
Male,2021 **,Acute and subacute endocarditis (I33),0,N/A,1956
Male,Total,Acute and subacute endocarditis (I33),51,0.4,1959
Unknown,2020 **,Acute and subacute endocarditis (I33),0,N/A,1962
Unknown,2021 **,Acute and subacute endocarditis (I33),0,N/A,1965
Unknown,Total,Acute and subacute endocarditis (I33),0,N/A,1968
Total,2020 **,Acute and subacute endocarditis (I33),82,0.6,1971
Total,2021 **,Acute and subacute endocarditis (I33),0,N/A,1974
Total,Total,Acute and subacute endocarditis (I33),82,0.3,1977
Female,2020 **,Diseases of pericardium and acute myocarditis (I30-I31I40),18,0.2,1980
Female,2021 **,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1983
Female,Total,Diseases of pericardium and acute myocarditis (I30-I31I40),18,0.1,1986
Male,2020 **,Diseases of pericardium and acute myocarditis (I30-I31I40),22,0.4,1989
Male,2021 **,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1992
Male,Total,Diseases of pericardium and acute myocarditis (I30-I31I40),22,0.2,1995
Unknown,2020 **,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,1998
Unknown,2021 **,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,2001
Unknown,Total,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,2004
Total,2020 **,Diseases of pericardium and acute myocarditis (I30-I31I40),40,0.3,2007
Total,2021 **,Diseases of pericardium and acute myocarditis (I30-I31I40),0,N/A,2010
Total,Total,Diseases of pericardium and acute myocarditis (I30-I31I40),40,0.1,2013
Female,2020 **,Heart failure (I50),2009,21.1,2016
Female,2021 **,Heart failure (I50),4,N/A,2019
Female,Total,Heart failure (I50),2013,10.6,2022
Male,2020 **,Heart failure (I50),1710,27.6,2025
Male,2021 **,Heart failure (I50),3,N/A,2028
Male,Total,Heart failure (I50),1713,13.8,2031
Unknown,2020 **,Heart failure (I50),0,N/A,2034
Unknown,2021 **,Heart failure (I50),0,N/A,2037
Unknown,Total,Heart failure (I50),0,N/A,2040
Total,2020 **,Heart failure (I50),3719,23.8,2043
Total,2021 **,Heart failure (I50),7,N/A,2046
Total,Total,Heart failure (I50),3726,11.9,2049
Female,2020 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3431,38.6,2052
Female,2021 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),2,N/A,2055
Female,Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3433,19.3,2058
Male,2020 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3244,50.2,2061
Male,2021 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),2,N/A,2064
Male,Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),3246,25.1,2067
Unknown,2020 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,2070
Unknown,2021 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,2073
Unknown,Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),0,N/A,2076
Total,2020 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),6675,43.8,2079
Total,2021 **,All other forms of heart disease (I26-I28I34-I38I42-I49I51),4,N/A,2082
Total,Total,All other forms of heart disease (I26-I28I34-I38I42-I49I51),6679,21.9,2085
Female,2020 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),804,8.7,2088
Female,2021 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),3,N/A,2091
Female,Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),807,4.4,2094
Male,2020 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),626,9.6,2097
Male,2021 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1,N/A,2100
Male,Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),627,4.8,2103
Unknown,2020 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,2106
Unknown,2021 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,2109
Unknown,Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),0,N/A,2112
Total,2020 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1430,9.3,2115
Total,2021 **,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),4,N/A,2118
Total,Total,Essential (primary) hypertension and hypertensive renal disease (I10I12I15),1434,4.6,2121
Female,2020 **,Cerebrovascular diseases (I60-I69),3716,40.1,2124
Female,2021 **,Cerebrovascular diseases (I60-I69),12,0.1,2127
Female,Total,Cerebrovascular diseases (I60-I69),3728,20.1,2130
Male,2020 **,Cerebrovascular diseases (I60-I69),2704,42.8,2133
Male,2021 **,Cerebrovascular diseases (I60-I69),4,N/A,2136
Male,Total,Cerebrovascular diseases (I60-I69),2708,21.4,2139
Unknown,2020 **,Cerebrovascular diseases (I60-I69),0,N/A,2142
Unknown,2021 **,Cerebrovascular diseases (I60-I69),0,N/A,2145
Unknown,Total,Cerebrovascular diseases (I60-I69),0,N/A,2148
Total,2020 **,Cerebrovascular diseases (I60-I69),6420,41.5,2151
Total,2021 **,Cerebrovascular diseases (I60-I69),16,0.1,2154
Total,Total,Cerebrovascular diseases (I60-I69),6436,20.8,2157
Female,2020 **,Atherosclerosis (I70),101,1.0,2160
Female,2021 **,Atherosclerosis (I70),0,N/A,2163
Female,Total,Atherosclerosis (I70),101,0.5,2166
Male,2020 **,Atherosclerosis (I70),83,1.3,2169
Male,2021 **,Atherosclerosis (I70),0,N/A,2172
Male,Total,Atherosclerosis (I70),83,0.7,2175
Unknown,2020 **,Atherosclerosis (I70),0,N/A,2178
Unknown,2021 **,Atherosclerosis (I70),0,N/A,2181
Unknown,Total,Atherosclerosis (I70),0,N/A,2184
Total,2020 **,Atherosclerosis (I70),184,1.2,2187
Total,2021 **,Atherosclerosis (I70),0,N/A,2190
Total,Total,Atherosclerosis (I70),184,0.6,2193
Female,2020 **,Aortic aneurysm and dissection (I71),164,1.9,2196
Female,2021 **,Aortic aneurysm and dissection (I71),0,N/A,2199
Female,Total,Aortic aneurysm and dissection (I71),164,0.9,2202
Male,2020 **,Aortic aneurysm and dissection (I71),231,3.6,2205
